time_stamp,song,artist
2023-05-09 18:57:32,You Read My Mind,David Benoit
2023-05-09 18:58:46,Atmosphere,Brien Andrews/Jermain Morgan
2023-05-09 19:02:23,Give It All You Got,Chuck Mangione
2023-05-09 19:08:21,When I'm With You,Vincent Ingala
2023-05-09 19:11:53,Groove Factor,Skinny Hightower
2023-05-09 19:17:12,Just Chillin',Norman Brown
2023-05-09 19:21:21,Smooth Soul,Erin Stevenson
2023-05-09 19:26:07,Trying To Get Back Home,Bill Heller
2023-05-09 19:29:41,Philadelphia,Rick Braun
2023-05-09 19:34:56,The One,Greg Manning/Julian Vaughn
2023-05-09 19:40:12,Spanish Girl,The Rippingtons
2023-05-09 19:44:17,Reverse,Marcus Anderson
2023-05-09 19:48:21,Fever,Ray Charles/Natalie Cole
2023-05-09 19:51:17,Windfall,Jazz Funk Soul
2023-05-09 19:56:32,Groove Central,Lemek
2023-05-09 20:01:49,Look What We Started Now,George Duke
2023-05-09 20:07:05,City Lights,Nelson Rangell
2023-05-09 20:13:31,100% Cotton,Nathan Mitchell
2023-05-09 20:17:01,Savanna,Dan Siegel
2023-05-09 20:21:40,So Amazing,Patti Austin
2023-05-09 20:25:45,Heavyweight,Slim Gambill
2023-05-09 20:29:52,Heart And Soul,Kenny G
2023-05-09 20:33:58,Lovers Melody,Ryan La Valette/Nicholas Cole
2023-05-09 20:40:24,Early Arrival,Ragan Whiteside/Kim Waters
2023-05-09 20:43:54,Wanting,Gabriela Anders
2023-05-09 20:48:33,Amends,Jazmin Ghent
2023-05-09 20:53:13,Souly Creole,Joe Sample
2023-05-09 20:59:07,Skyway,Steve Oliver
2023-05-09 21:02:38,What Was I to You?,Sam Riney
2023-05-09 21:08:28,Oceano,Gerey Johnson/Ramon Yslas
2023-05-09 21:13:06,For The Cool In You,Cindy Bradley
2023-05-09 21:17:45,Bubble,Basia
2023-05-09 21:21:51,As,Najee
2023-05-09 21:25:56,Night In the Algarve,Nils
2023-05-09 21:29:27,When Summer Comes,George Howard
2023-05-09 21:34:07,"Right On, Right On",Adam Hawley/Julian Vaughn
2023-05-09 21:37:37,Tick Tock,Boney James
2023-05-09 21:41:41,It's Personal,Jimmy B
2023-05-09 21:46:19,I Want You,Dianne Reeves
2023-05-09 21:50:58,Piermont Nights,Jazz Holdouts
2023-05-09 21:54:28,L' Arc en Ciel de Miles,Incognito
2023-05-09 21:58:33,Work All Night,Richard Elliot
2023-05-09 22:02:05,Till We Meet Again,Special EFX
2023-05-09 22:07:54,Tropical Rain,Jessy J
2023-05-09 22:11:59,Steps On The Globe,Keiko Matsui
2023-05-09 22:16:02,Fall For You,Blake Aaron
2023-05-09 22:21:17,Spoon,Grace Kelly
2023-05-09 22:24:11,Midnight Dance,Jay Rowe
2023-05-09 22:28:16,Sweet Island Love,Jonathan Butler
2023-05-09 22:32:56,Deja Vu,Walter Beasley
2023-05-09 22:37:00,In Your Eyes,Dan Siegel
2023-05-09 22:41:38,7 And 7,Paul Brown\Euge Groove
2023-05-09 22:43:58,Whatever It Takes,Anita Baker
2023-05-09 22:49:19,That Special Touch,Kim Waters
2023-05-09 22:54:36,Marina's Dream,Joyce Cooling
2023-05-09 22:58:42,Coast To Coast,Pamela Williams
2023-05-09 23:02:47,Sun's Out,Carol Albert
2023-05-09 23:06:53,Ridin' The Wave,Vincent Ingala
2023-05-09 23:11:00,To The Top,Adam Hawley
2023-05-09 23:15:07,London in Springtime,Paul Hardcastle
2023-05-09 23:18:37,By My Side,Gerald Albright
2023-05-09 23:22:42,Moving Forward,Bernie Williams
2023-05-09 23:26:13,The Rise and Fall (Of Loving You),Brian Culbertson
2023-05-09 23:29:45,Cruisin' On Sunset,Mike Phillips
2023-05-09 23:33:53,To The End Of The World,Pat Metheny Group
2023-05-09 23:45:36,Sunset Boulevard,Boney James
2023-05-09 23:49:07,KJ's Vybe,Kevin Jackson
2023-05-09 23:53:49,Eva Kant Dance,Philippe Saisse
