time_stamp,song,artist
2023-05-06 09:01:27,If We Meet Again Part 2,Al Di Meola
2023-05-06 09:05:01,Groove With Me,Willie Bradley
2023-05-06 09:08:36,Groove Central,Lemek
2023-05-06 09:14:35,Ridin' The Wave,Vincent Ingala
2023-05-06 09:17:33,Easy,Tim Bowman
2023-05-06 09:21:07,Ashland,Randal Clark
2023-05-06 09:25:53,Smooth Soul,Erin Stevenson
2023-05-06 09:29:27,Missing You,Jackiem Joyner
2023-05-06 09:33:02,For The Cool In You,Cindy Bradley
2023-05-06 09:38:26,In This Love,Gregory Goodloe
2023-05-06 09:42:01,Detour,Boney James
2023-05-06 09:46:46,Right In There,Kombo
2023-05-06 09:50:21,Piermont Nights,Jazz Holdouts
2023-05-06 09:55:07,Coming Home,Jonathan Butler
2023-05-06 09:58:40,Steps On The Globe,Keiko Matsui
2023-05-06 10:03:26,Got To Get You Into My Life,Dave Koz And Friends
2023-05-06 10:10:33,Waay Up,Brandon Marceal
2023-05-06 10:13:31,Blue Horizons,Roberto Vally
2023-05-06 10:19:26,Demain (Jazz),Les Nubians
2023-05-06 10:23:36,After We Play,Johnny Britt/Peter White
2023-05-06 10:26:34,One On One,Wayman Tisdale
2023-05-06 10:30:08,Deja Vu,Walter Beasley
2023-05-06 10:34:55,Straight Down The Line,Nils
2023-05-06 10:38:29,Feel The Breeze,Shaun LaBelle/Patrice Rushen
2023-05-06 10:43:49,Got To Keep It Moving,Nick Colionne
2023-05-06 10:48:00,Tales of a Gypsy,Marion Meadows
2023-05-06 10:52:48,Bogota By Bus,Jesse Cook
2023-05-06 10:55:48,That Special Touch,Kim Waters
2023-05-06 11:01:48,Toys,J Michael Verta
2023-05-06 11:05:59,Pick Up The Pieces,Kenny G/David Sanborn
2023-05-06 11:10:10,Lovers Melody,Ryan La Valette/Nicholas Cole
2023-05-06 11:14:56,Crush,Richard Elliot
2023-05-06 11:18:30,Desafinado (Slightly Out of Tune),Karrin Allyson
2023-05-06 11:23:51,Coastline Crusader,Paul Hardcastle
2023-05-06 11:29:12,35th St,Adam Hawley/Eric Darius
2023-05-06 11:32:12,The One,Greg Manning/Julian Vaughn
2023-05-06 11:36:57,Point Of Departure,Nelson Rangell
2023-05-06 11:40:30,A Coastal Breeze,A. Ray Fuller
2023-05-06 11:44:39,I Dont Mind,Maysa
2023-05-06 11:50:02,Someone To Love,Kirk Whalum
2023-05-06 11:54:48,Wind Chill Factor,Cindy Bradley
2023-05-06 12:00:08,Skyway,Steve Oliver
2023-05-06 12:04:20,Here To Stay,Darryl Williams/Euge Groove
2023-05-06 12:07:54,"Like This, Like That",Chris Standring
2023-05-06 12:12:03,Groove Factor,Skinny Hightower
2023-05-06 12:17:23,Honey-Dipped,Dave Koz
2023-05-06 12:23:20,Late Night Mood,Regina Carter
2023-05-06 12:28:05,Woody's Gap,Roberto Vally
2023-05-06 12:33:25,Say What's On Your Mind,Nick Colionne
2023-05-06 12:37:01,By My Side,Gerald Albright
2023-05-06 12:42:23,Chasing Shadows,Herb Alpert
2023-05-06 12:45:57,Heavyweight,Slim Gambill
2023-05-06 12:50:09,Aganju (Remixed by Latin Project),Bebel Gilberto
2023-05-06 12:56:05,Out of The Blue,Mindi Abair
2023-05-06 13:00:14,Pass The Groove,Lin Rountree
2023-05-06 13:04:23,Velocity,John E. Lawrence
2023-05-06 13:07:56,All For Love,Vandell Andrew
2023-05-06 13:11:32,Head Over Heels,Peter White
2023-05-06 13:16:17,Magic Mirror,Carol Albert
2023-05-06 13:20:26,Sly,Richard Elliot
2023-05-06 13:24:36,Making Love in the Rain,Herb Alpert
2023-05-06 13:30:33,Open Road,Paula Atherton
2023-05-06 13:34:44,Lady Madonna,Philippe Saisse
2023-05-06 13:38:20,On A Roll,Quintin Gerard W.
2023-05-06 13:41:54,Mr. Morris,Roman Street/Vincent Ingala
2023-05-06 13:46:39,Reverse,Marcus Anderson
2023-05-06 13:50:13,I Didn't Mean It,Lindsey Webster
2023-05-06 13:55:00,Rpm,Boney James
2023-05-06 13:59:10,Cookie Strut,Four 80 East
2023-05-06 14:03:56,Going Out,Julian Vaughn
2023-05-06 14:08:06,Lily Was Here (91),Candy Dulfer
2023-05-06 14:12:52,So Strong,Rick Braun
2023-05-06 14:18:34,100% Cotton,Nathan Mitchell
2023-05-06 14:21:33,Let's Get On It,Kim Waters
2023-05-06 14:25:42,Under The Sun,Michael Franks
2023-05-06 14:31:39,Groove Together,Jayson Tipp
2023-05-06 14:35:49,Paula,Torcuato Mariano
2023-05-06 14:39:59,"Journey ""To The Doc""",Phillip Doc Martin
2023-05-06 14:44:44,Chameleon 3000,Bob Baldwin
2023-05-06 14:48:18,Somethin' About You,Thom Rotella
2023-05-06 14:53:38,Love And Nothing Less,Keiko Matsui/Lalah Hathaway
2023-05-06 14:57:51,When I Think of You,Steve Cole
2023-05-06 15:02:00,Mary Ann,Nicholas Cole
2023-05-06 15:06:47,Just Like That,Nick Colionne
2023-05-06 15:09:46,Still in Love,Gerald Albright
2023-05-06 15:14:32,It Keeps Coming Back,Norman Brown
2023-05-06 15:18:43,It's You,Lin Rountree
2023-05-06 15:23:28,After Sunset,Joe McBride/Grover Washington Jr
2023-05-06 15:28:17,What A Difference A Day Made,Deborah Cox
2023-05-06 15:32:28,I've Got This,Claudia Hayden/J. White
2023-05-06 15:36:38,Sunday Morning,Euge Groove
2023-05-06 15:41:23,Groove Central,Lemek
2023-05-06 15:47:21,Heartbeat of the City,Mike Phillips
2023-05-06 15:51:29,Friendly Pressure,Maysa
2023-05-06 15:56:13,Missing You,Randal Clark
2023-05-06 16:00:22,No Messin',Acoustic Alchemy
2023-05-06 16:06:20,2nd 2 None,Najee
2023-05-06 16:10:31,Groove With Me,Willie Bradley
2023-05-06 16:14:41,Creepin',Boney James
2023-05-06 16:18:50,From Newport To London,Basia
2023-05-06 16:21:48,Let's Move,Eric Valentine/Richard Elliot
2023-05-06 16:27:44,Spice,Fattburger
2023-05-06 16:32:32,Right In There,Kombo
2023-05-06 16:37:17,Watching the World,Steve Oliver
2023-05-06 16:40:51,Hookline,Matt Lee
2023-05-06 16:45:03,Dance Me To The End Of Love,Madeleine Peyroux
2023-05-06 16:48:01,Soulful Strut,Grover Washington Jr.
2023-05-06 16:52:10,And So But Then,Philippe Saisse/Marc Antoine
2023-05-06 16:56:55,Full Circle,Daryl Beebe
2023-05-06 17:01:03,Ain't No Woman Like The One I Got,Jeff Golub
2023-05-06 17:05:12,Magic Men,Marion Meadows
2023-05-06 17:08:46,Taboo,Damien Escobar
2023-05-06 17:12:20,Third Wish,Joyce Cooling
2023-05-06 17:18:20,Spoon,Grace Kelly
2023-05-06 17:21:16,Face To Face,Chris Standring
2023-05-06 17:26:02,Topside,Bob James
2023-05-06 17:28:59,Atmosphere,Brien Andrews/Jermain Morgan
2023-05-06 17:33:44,Be Urself,Nick Colionne
2023-05-06 17:38:30,Generation U,Sean U
2023-05-06 17:42:05,Walk On By,Diana Krall
2023-05-06 17:46:49,If Only in Your Dreams,Bill Evans
2023-05-06 17:52:14,Caribbean Breeze,Rippingtons
2023-05-06 17:56:22,R U Serious,"Chris ""Big Dog"" Davis/Carl Cox"
2023-05-06 18:00:31,Winter's End,Acoustic Alchemy
2023-05-06 18:04:40,Eastside,Four80East
2023-05-06 18:10:36,In This Love,Gregory Goodloe
2023-05-06 18:14:46,Hudson River Nights,Kim Waters
2023-05-06 18:19:31,You Go to My Head,Michael Manson/Kevin Whalum
2023-05-06 18:24:49,Bounce,Najee
2023-05-06 18:28:23,Palm Strings,Marc Antoine
2023-05-06 18:33:43,Missing You,Jackiem Joyner
2023-05-06 18:38:29,Eddie's Ready,Thom Rotella
2023-05-06 18:42:38,Waay Up,Brandon Marceal
2023-05-06 18:46:12,Grazing in the Grass,Boney James & Rick Braun
2023-05-06 18:49:46,Ring of Gold,Chris Camozzi
2023-05-06 18:54:29,Old School Jam,Gerald Albright
2023-05-06 18:59:14,Easy,Tim Bowman
2023-05-06 19:03:22,Knikki's Smile,Pieces of a Dream
2023-05-06 19:09:18,Only Way Home,Keiko Matsui
2023-05-06 19:12:15,Everybody Get Up,Patrick Lamb
2023-05-06 19:17:05,Mystic Voyage,Ronny Jordan & Roy Ayers
2023-05-06 19:20:40,Lonely,Kem
2023-05-06 19:26:03,Heavyweight,Slim Gambill
2023-05-06 19:30:13,That's The Way Of The World,Kim Pensyl
2023-05-06 19:35:00,KJ's Vybe,Kevin Jackson
2023-05-06 19:39:46,Inside Stuff,WAYMAN TISDALE
2023-05-06 19:45:09,Open Road,Paula Atherton
2023-05-06 19:48:42,Another Season,Kevyn Lettau
2023-05-06 19:54:06,Sooner Or Later,The Sax Pack
2023-05-06 19:54:41,Sooner Or Later,The Sax Pack
