time_stamp,song,artist
2023-05-03 15:04:35,Rise!,Ben Tankard/Marion Meadows
2023-05-03 15:05:48,'Til We're Together Again,Rippingtons
2023-05-03 15:11:39,100% Cotton,Nathan Mitchell
2023-05-03 15:14:36,All My Life,Tim Bowman
2023-05-03 15:18:11,Happy People,Kenny Garrett/Jean Baylor
2023-05-03 15:24:50,Face To Face,Chris Standring
2023-05-03 15:28:25,The Neck Factor,Marcus Johnson
2023-05-03 15:32:35,Detour,Boney James
2023-05-03 15:36:47,The Kickback,Nicholas Cole
2023-05-03 15:40:20,Full Court Press,Ragan Whiteside
2023-05-03 15:46:16,Leading Me Back to You,Joe Sample/Michael Franks
2023-05-03 15:50:25,Club Havana,Benoit/Freeman Project
2023-05-03 15:56:21,On A Roll,Quintin Gerard W.
2023-05-03 15:59:57,Proof,Keiko Matsui
2023-05-03 16:00:32,On A Roll,Quintin Gerard W.
2023-05-03 16:01:08,Proof,Keiko Matsui
2023-05-03 16:05:18,Room To Breathe,Najee
2023-05-03 16:10:03,Just Like That,Nick Colionne
2023-05-03 16:13:01,All About You,Brian Culbertson
2023-05-03 16:18:22,Next To Me,Lindsey Webster
2023-05-03 16:24:57,A Coastal Breeze,A. Ray Fuller
2023-05-03 16:27:54,In the Groove,Kim Waters
2023-05-03 16:32:05,KJ's Vybe,Kevin Jackson
2023-05-03 16:38:04,B's Bounce,Blair Bryant
2023-05-03 16:41:40,7 And 7,Paul Brown\Euge Groove
2023-05-03 16:45:48,Smooth Soul,Erin Stevenson
2023-05-03 16:49:57,Can We Talk,Kirk Whalum & Rick Braun
2023-05-03 16:53:32,European Comfort,Gota
2023-05-03 17:00:04,For The Cool In You,Cindy Bradley
2023-05-03 17:04:50,Down To It,Jack Prybylski
2023-05-03 17:09:01,Flying East,Fourplay
2023-05-03 17:14:59,By My Side,Gerald Albright
2023-05-03 17:18:32,Turn It Out,Peter White
2023-05-03 17:25:06,Do It Again,Paul Hardcastle
2023-05-03 17:30:27,Trying To Get Back Home,Bill Heller
2023-05-03 17:34:37,Barcelona Nights,Ottmar Liebert
2023-05-03 17:38:47,Ashland,Randal Clark
2023-05-03 17:42:56,Red Baron,Lee Ritenour
2023-05-03 17:46:33,NuJazzy,Bobby Lyle
2023-05-03 17:50:42,Biggest Part Of Me,David Pack
2023-05-03 17:55:27,Soulmate,Nicholas Cole
2023-05-03 17:58:25,Ridin' The Wave,Vincent Ingala
2023-05-03 18:02:34,Detroit,Marcus Miller
2023-05-03 18:07:20,Candlelight,Richard Elliot
2023-05-03 18:11:30,Steps On The Globe,Keiko Matsui
2023-05-03 18:16:49,Gypsy Eyes,The Rippingtons & Russ Freeman
2023-05-03 18:19:48,Lover's Rock,Sade
2023-05-03 18:24:33,Open Road,Paula Atherton
2023-05-03 18:29:20,Homecoming,Acoustic Alchemy
2023-05-03 18:35:16,The One,Greg Manning/Julian Vaughn
2023-05-03 18:40:05,The Big Windy Cat,Nick Colionne
2023-05-03 18:43:39,Reverse,Marcus Anderson
2023-05-03 18:48:27,Pleasures of the Night,Will Downing & Gerald Albright
2023-05-03 18:53:12,Streamline,Paul Taylor
2023-05-03 18:57:59,The Way Home,Chris Botti
2023-05-03 19:02:47,Lovers Melody,Ryan La Valette/Nicholas Cole
2023-05-03 19:07:32,"Love, Love, Love",Kirk Whalum
2023-05-03 19:12:23,Pamela,Brian Hughes
2023-05-03 19:17:06,Magic Mirror,Carol Albert
2023-05-03 19:20:43,Chillin' Out,Eric Darius
2023-05-03 19:26:40,Principles of Lust,Enigma
2023-05-03 19:29:03,After We Play,Johnny Britt/Peter White
2023-05-03 19:32:38,Exotic Love,Bobby Lyle
2023-05-03 19:38:35,How I Feel With You,Jeff Ryan
2023-05-03 19:43:21,Shuffle,Adam Hawley
2023-05-03 19:48:07,Breakthrough,Cal Harris Jr.
2023-05-03 19:51:41,Spoon,Grace Kelly
2023-05-03 19:56:27,Lazy Days,Paul Hardcastle
2023-05-03 20:02:22,Humanity,Marion Meadows
2023-05-03 20:05:59,I Keep Forgettin',Allen Hinds
2023-05-03 20:10:45,Love for a Lifetime,Brian Krinek
2023-05-03 20:14:18,Point Venus,Jeff Lorber
2023-05-03 20:19:03,Everybody Get Up,Patrick Lamb
2023-05-03 20:22:37,Nightshift,Gregg Karukas
2023-05-03 20:26:11,Rendez-Vous,Zhane
2023-05-03 20:32:08,That Beat,The 3 Keys
2023-05-03 20:36:54,Cafe Reggio,Zachary Breaux
2023-05-03 20:41:41,Deja Vu,Walter Beasley
2023-05-03 20:46:25,Voyage,Patrick Bradley
2023-05-03 20:51:11,It's Personal,Jimmy B
2023-05-03 20:54:45,If I Ever Lose This Heaven,Harvey Mason
2023-05-03 21:00:43,Dance With Me,Jackiem Joyner
2023-05-03 21:04:20,Wes Who?,Count Basic
2023-05-03 21:09:08,"Journey ""To The Doc""",Phillip Doc Martin
2023-05-03 21:12:46,Groove Me,Nate Najar
2023-05-03 21:16:57,Paris in May,Alex Bugnon
2023-05-03 21:21:44,Piermont Nights,Jazz Holdouts
2023-05-03 21:25:55,Brazilian Sea,Lloyd Gregory
2023-05-03 21:30:05,Desafinado,Kenny G
2023-05-03 21:34:53,Stand Up!,Roberto Restuccia
2023-05-03 21:39:07,I Got You ( I Feel Good),Dave Koz And Friends
2023-05-03 21:43:23,"Right On, Right On",Adam Hawley/Julian Vaughn
2023-05-03 21:47:35,Lip Service,Richard Elliot
2023-05-03 21:51:49,Take It Uptown,Gino Rosaria
