time_stamp,song,artist
2023-05-14 22:44:32,Heavyweight,Slim Gambill
2023-05-14 22:46:57,Demain (Jazz),Les Nubians
2023-05-14 22:50:30,Moon Goddess,Michael Lington
2023-05-14 22:55:18,Brazilia,Wayman Tisdale
2023-05-14 22:58:56,From the Start,Steve Cole
2023-05-14 23:02:36,L.A.'D,Tony Guerrero
2023-05-14 23:06:19,In This Love,Gregory Goodloe
2023-05-14 23:10:05,Into My Soul,Kirk Whalum
2023-05-14 23:16:24,I Didn't Mean It,Lindsey Webster
2023-05-14 23:20:11,How I Feel With You,Jeff Ryan
2023-05-14 23:23:56,Elegance on the Catwalk,Jonathan Cain
2023-05-14 23:27:43,Simple Pleasures,Spyro Gyra
2023-05-14 23:31:14,Night In the Algarve,Nils
2023-05-14 23:34:45,Get Up And Dance,Rick Braun
2023-05-14 23:39:29,Love And Nothing Less,Keiko Matsui/Lalah Hathaway
2023-05-14 23:44:11,Grass Roots,Joyce Cooling
2023-05-14 23:47:43,On A Roll,Quintin Gerard W.
2023-05-14 23:52:26,The Girls Next Door,Pat Metheny Group
2023-05-14 23:57:09,Sandcastles,Brian Culbertson
2023-05-15 00:01:52,Paris Groove,Rippingtons
2023-05-15 00:05:24,Atmosphere,Brien Andrews/Jermain Morgan
2023-05-15 00:08:54,Aganju (Remixed by Latin Project),Bebel Gilberto
2023-05-15 00:14:46,Groove On,Euge Groove
2023-05-15 00:19:31,It's Personal,Jimmy B
2023-05-15 00:23:02,Way Up,Wayman Tisdale
2023-05-15 00:26:33,That Special Touch,Kim Waters
2023-05-15 00:31:15,Smiles and Smiles to Go,Larry Carlton
2023-05-15 00:37:07,Right In There,Kombo
2023-05-15 00:41:50,Pearls,Kandace Springs
2023-05-15 00:46:34,Full Circle,Daryl Beebe
2023-05-15 00:50:04,Palmetto Park,Benoit/Freeman Project
2023-05-15 00:54:46,On Your Feet,Julian Vaughn
2023-05-15 00:58:17,Into The Light,Darren Rahn
2023-05-15 01:01:49,Groove Factor,Skinny Hightower
2023-05-15 01:07:42,Pandora's Box,Chris Standring
2023-05-15 01:11:15,Spoon,Grace Kelly
2023-05-15 01:15:59,Bueno Funk,Peter White
2023-05-15 01:19:30,NuJazzy,Bobby Lyle
2023-05-15 01:24:12,Nikki's Walk,Jeff Golub
2023-05-15 01:28:53,Ashland,Randal Clark
2023-05-15 01:33:36,Feel Like Making Love,Bob James
2023-05-15 01:38:18,Motor City Moves,J White/Lin Rountree
2023-05-15 01:43:00,Friendly Pressure,Maysa
2023-05-15 01:47:45,Magic Mirror,Carol Albert
2023-05-15 01:52:29,Everyday,Steve Cole
2023-05-15 01:56:01,End To A Perfect Day,Paul Jackson Jr. f/ Najee
2023-05-15 02:00:43,Speed of Light,Jazz Funk Soul
2023-05-15 02:05:25,Slam Dunk,Wayman Tisdale
2023-05-15 02:08:57,Coming Home,Jonathan Butler
2023-05-15 02:13:40,Skip To My Lew,Walter Beasley
2023-05-15 02:18:23,Let's Stay In Tonight,Brian Culbertson
2023-05-15 02:23:06,Treat Her Right,Jacob Webb
2023-05-15 02:27:49,Bali Run,Fourplay
2023-05-15 02:32:32,Piermont Nights,Jazz Holdouts
2023-05-15 02:37:14,Walking in Rhythm,Joe McBride
2023-05-15 02:41:57,Workin' It Out,Jason Jackson
2023-05-15 02:46:42,The Sweetest Taboo,Sade
2023-05-15 02:51:27,Coastin',Julian Vaughn
2023-05-15 02:55:00,Chill Factor,Richard Elliot
2023-05-15 03:00:55,Bumper to Bumper,FOUR 80 EAST
2023-05-15 03:04:27,B's Bounce,Blair Bryant
2023-05-15 03:07:59,Someone To Love,Kirk Whalum
2023-05-15 03:13:53,Soul Connection,Brian Simpson
2023-05-15 03:16:15,I Will Be Here for You (Nitakungodea Milele),Al Jarreau
2023-05-15 03:20:59,Coupe DeVille,Brian Bromberg
2023-05-15 03:24:30,Open Road,Paula Atherton
2023-05-15 03:29:12,Moon Over Gotham,Keiko Matsui
2023-05-15 03:32:46,Kissing a Star,Deepak Thettu
2023-05-15 03:37:30,Conversation Piece,Wayman Tisdale ft. Bob James
2023-05-15 03:42:12,Stand Up!,Roberto Restuccia
2023-05-15 03:46:54,I'm OK,Lindsey Webster
2023-05-15 03:52:46,All For One,Allen Carman Project
2023-05-15 03:56:16,Playin',Brian Culbertson
2023-05-15 03:59:48,If I Could Fly,Vincent Ingala
2023-05-15 04:03:56,Aqua Marine,Santana
2023-05-15 04:10:25,"Journey ""To The Doc""",Phillip Doc Martin
2023-05-15 04:13:22,Once in the A.M.,Fourplay
2023-05-15 04:20:25,Buy Me Love,Chance Howard/Candy Dulfer
2023-05-15 04:24:33,When We Dance,Ken Navarro
2023-05-15 04:29:15,Everlasting,Darren Rahn
2023-05-15 04:32:48,Good To Go,Chuck Loeb
2023-05-15 04:36:20,Simple,Warren Hill
2023-05-15 04:41:06,Take Five/In Three,Sekou Bunch
2023-05-15 04:45:15,Velocity,John E. Lawrence
2023-05-15 04:48:48,Another Season,Kevyn Lettau
2023-05-15 04:54:41,By My Side,Gerald Albright
2023-05-15 04:59:23,Zephyr,Kayla Waters
2023-05-15 05:03:29,Trinity,Jackiem Joyner/Steve Oliver
2023-05-15 05:08:11,Red Baron,Lee Ritenour
2023-05-15 05:11:08,Sunset Bay,The Braxton Brothers
2023-05-15 05:16:24,Steps On The Globe,Keiko Matsui
2023-05-15 05:20:32,Grazing in the Grass,Boney James & Rick Braun
2023-05-15 05:25:14,Kid Gloves,Larry Carlton
2023-05-15 05:28:46,Wrapped Up In Your Smile,Dave Koz
2023-05-15 05:33:28,Winelight,Paul Brown
2023-05-15 05:38:44,The One,Greg Manning/Julian Vaughn
2023-05-15 05:42:51,Tantam,Walter Beasley
2023-05-15 05:47:33,Face To Face,Chris Standring
2023-05-15 05:51:06,Quiet Storm,"Chris ""Big Dog"" Davis"
2023-05-15 05:55:48,Taboo,Damien Escobar
2023-05-15 05:59:20,Together Again,Peter White
2023-05-15 06:04:37,Show Me The Way,Gregg Karukas
2023-05-15 06:09:20,Detroit,Marcus Miller
2023-05-15 06:12:55,Soul Appeal,Michael Lington
2023-05-15 06:17:02,Just Like That,Nick Colionne
2023-05-15 06:20:35,Making Love in the Rain,Herb Alpert
2023-05-15 06:27:04,Mystique,Richard Elliot
2023-05-15 06:31:48,Generation U,Sean U
2023-05-15 06:35:57,Dr. Macumba,Earl Klugh
2023-05-15 06:40:05,Ridin' The Wave,Vincent Ingala
2023-05-15 06:43:02,4AM,Nite Flyte
2023-05-15 06:47:09,It's Personal,Jimmy B
2023-05-15 06:50:06,Smooth Soul,Erin Stevenson
2023-05-15 06:54:48,Riders on the Storm,O'2L
2023-05-15 07:00:05,Missing You,Jackiem Joyner
2023-05-15 07:04:13,Blondes & Bottles,Greg Adams
2023-05-15 07:07:11,Shuffle,Adam Hawley
2023-05-15 07:11:18,The Next Level,Gerald Albright
2023-05-15 07:16:01,For The Cool In You,Cindy Bradley
2023-05-15 07:21:19,You're My Everything,Anita Baker
2023-05-15 07:25:25,Bossman,Ron Bosse
2023-05-15 07:29:31,Brand New Day,Soundscape UK
2023-05-15 07:33:02,100% Cotton,Nathan Mitchell
2023-05-15 07:37:44,East River Drive,Stanley Clarke
2023-05-15 07:45:24,Bounce,Najee
2023-05-15 07:49:31,I Like The Way You Talk (To Me),Lori Williams
2023-05-15 07:54:13,Deja Vu,Walter Beasley
2023-05-15 07:57:44,Bossa Blue,Chris Standring
2023-05-15 08:01:52,Island Style,Richard Elliot
2023-05-15 08:07:45,Southwest Passage,Lee Ritenour
2023-05-15 08:13:39,Everybody Get Up,Patrick Lamb
2023-05-15 08:17:11,Nightlife,Jeff Golub & Avenue Blue
2023-05-15 08:21:55,Simple Life,Maysa
2023-05-15 08:26:02,Magic Mirror,Carol Albert
2023-05-15 08:30:44,The Big Windy Cat,Nick Colionne
2023-05-15 08:34:51,Chelsea,Rick Braun
2023-05-15 08:38:58,Coastline Crusader,Paul Hardcastle
2023-05-15 08:43:06,Easy Like Sunday Morning,Paul Jackson Jr.
2023-05-15 08:47:13,Only Tomorrow Knows,Dave Koz
2023-05-15 08:51:59,A New Beginning,Jonathan Fritzen
2023-05-15 08:56:07,Coming Home,Jonathan Butler
2023-05-15 09:00:15,Route 101,Herb Alpert
2023-05-15 09:03:11,Back in Your Arms,Everette Harp
2023-05-15 09:07:54,Skyway,Steve Oliver
2023-05-15 09:10:50,Najee's Theme,Najee
2023-05-15 09:16:43,Let's Stay Together,Pete Escovedo/Sy Smith
2023-05-15 09:21:26,Groove Together,Jayson Tipp
2023-05-15 09:26:45,The B Spot,Byron Miller/Walter Beasley
2023-05-15 09:29:42,It's You,Lin Rountree
2023-05-15 09:34:26,Trouble Up Warieka Hill,Rohan Reid
2023-05-15 09:37:59,Midnight Dance,Jay Rowe
