time_stamp,song,artist
2023-05-10 16:09:07,How I Feel With You,Jeff Ryan
2023-05-10 16:10:52,Mildred's Attraction,Joyce Cooling
2023-05-10 16:17:17,Spoon,Grace Kelly
2023-05-10 16:20:12,I've Got This,Claudia Hayden/J. White
2023-05-10 16:26:35,Last Song,Earl Klugh
2023-05-10 16:29:31,For The Cool In You,Cindy Bradley
2023-05-10 16:35:22,So Far So What,Fattburger
2023-05-10 16:39:28,Coastline Crusader,Paul Hardcastle
2023-05-10 16:42:58,Ability to Swing,Patti Austin
2023-05-10 16:48:15,Got 2 Be Groovin,Euge Groove
2023-05-10 16:51:45,107 Degrees in the Shade,Alex Bugnon
2023-05-10 16:57:35,Full Circle,Daryl Beebe
2023-05-10 17:02:16,Eric's Dream,Ken Navarro
2023-05-10 17:07:31,Sunny Side Up,Freddie Ravel
2023-05-10 17:10:27,Forecast,Jazz Funk Soul
2023-05-10 17:16:18,I Believe in You,3rd Force
2023-05-10 17:21:32,No Getting over (No Way No How),Jonathan Butler
2023-05-10 17:26:11,A Coastal Breeze,A. Ray Fuller
2023-05-10 17:29:40,Summer Madness,Richard Elliot
2023-05-10 17:33:45,In This Love,Gregory Goodloe
2023-05-10 17:38:26,Lisa,David Sanborn
2023-05-10 17:43:05,Groove With Me,Willie Bradley
2023-05-10 17:47:10,Kiss Of Life,Sade
2023-05-10 17:52:26,Chopsticks,Jeff Lorber
2023-05-10 17:57:07,Passion Play,Acoustic Alchemy
2023-05-10 18:01:11,The One,Greg Manning/Julian Vaughn
2023-05-10 18:05:15,Around The Corner,Rick Braun
2023-05-10 18:10:29,My Dream Come True,Andy Snitzer
2023-05-10 18:15:44,Magic Mirror,Carol Albert
2023-05-10 18:20:23,My Girl Sunday,Chieli Minucci
2023-05-10 18:25:36,Who's Crying Now,Randy Crawford
2023-05-10 18:29:06,Face To Face,Chris Standring
2023-05-10 18:33:12,La Smooth,Najee
2023-05-10 18:37:51,Groove Central,Lemek
2023-05-10 18:43:42,Always There,Justin Young
2023-05-10 18:48:22,Buy Me Love,Chance Howard/Candy Dulfer
2023-05-10 18:52:26,Via Nueve,David Benoit/Russ Freeman
2023-05-10 18:57:05,Ridin' The Wave,Vincent Ingala
2023-05-10 19:01:11,All In Good Time,Larry Carlton
2023-05-10 19:09:20,Smooth Soul,Jeff Bradshaw
2023-05-10 19:13:26,Ashland,Randal Clark
2023-05-10 19:17:30,Wade in the Water,Ramsey Lewis
2023-05-10 19:20:59,Change,Incognito
2023-05-10 19:25:39,Future Smooth,Ryan Montano
2023-05-10 19:30:55,Rendezvous,Richard Elliot
2023-05-10 19:35:00,It's You,Lin Rountree
2023-05-10 19:39:38,Reflections,Keiko Matsui
2023-05-10 19:43:46,Superstar,Riley Richard
2023-05-10 19:48:25,You're Getting to Be a Habit With Me,Diana Krall
2023-05-10 19:49:36,Big Ol' Shoes,Kirk Whalum
2023-05-10 19:54:52,Hacienda,Jeff Lorber Fusion
2023-05-10 19:57:46,Coming Home,Jonathan Butler
2023-05-10 20:03:34,Chill,Chris Godber
2023-05-10 20:07:39,Cool Shades,Chris Standring
2023-05-10 20:11:09,On A Roll,Quintin Gerard W.
2023-05-10 20:15:16,Naked City,Avenue Blue
2023-05-10 20:21:05,Under the Moon and Over the Sky,Angela Bofill
2023-05-10 20:25:09,And Now This,Paul Taylor
2023-05-10 20:29:14,Urban Cowboy,Acoustic Alchemy
2023-05-10 20:33:18,Atmosphere,Brien Andrews/Jermain Morgan
2023-05-10 20:38:30,Night Rhythms,Lee Ritenour
2023-05-10 20:43:07,Waay Up,Brandon Marceal
2023-05-10 20:47:11,What's New?,Boz Scaggs
2023-05-10 20:52:23,Spooky,Marc Antoine
2023-05-10 20:56:27,Where the Night Begins,Steve Cole
2023-05-10 21:00:32,Groove Factor,Skinny Hightower
2023-05-10 21:06:23,Avalon,The Rippingtons
2023-05-10 21:09:57,Laid Back,Doc Powell
2023-05-10 21:14:40,100% Cotton,Nathan Mitchell
2023-05-10 21:18:47,"Playing Your Game, Baby",Maysa
2023-05-10 21:24:04,Treat Her Right,Jacob Webb
2023-05-10 21:28:10,Linus and Lucy,David Benoit
2023-05-10 21:31:40,Easy,Tim Bowman
2023-05-10 21:35:45,Brooklyn Heights,Down to the Bone
2023-05-10 21:42:44,Let's Have a Good Time,The Braxton Brothers
2023-05-10 21:43:19,Brooklyn Heights,Down to the Bone
2023-05-10 21:43:54,Let's Have a Good Time,The Braxton Brothers
2023-05-10 21:46:49,Love And Nothing Less,Keiko Matsui/Lalah Hathaway
2023-05-10 21:50:53,Givin' It Up,Richard Elliot
2023-05-10 21:54:57,Just Like That,Nick Colionne
2023-05-10 21:59:02,Man In The Mirror,BWB
2023-05-10 22:03:06,Shelter Island (Remix),Cal Harris Jr.
2023-05-10 22:07:45,Illuminate,Steve Oliver
2023-05-10 22:11:13,Piermont Nights,Jazz Holdouts
2023-05-10 22:14:42,Fly by Night,George Benson
2023-05-10 22:19:55,Coming Right At Ya,Michael Manson
2023-05-10 22:25:08,Feel The Breeze,Shaun LaBelle/Patrice Rushen
2023-05-10 22:28:38,Why Not,Chris Botti
2023-05-10 22:33:19,"Right On, Right On",Adam Hawley/Julian Vaughn
2023-05-10 22:36:13,Lovely Day,Philippe Saisse
2023-05-10 22:42:04,Somethin' About You,Thom Rotella
2023-05-10 22:45:34,Don't Go Away,Patti Austin
2023-05-10 22:49:38,For The Cool In You,Cindy Bradley
2023-05-10 22:54:16,Wish I Was There,Vincent Ingala
2023-05-10 22:58:21,All About You,Brian Culbertson
2023-05-10 23:02:26,Groove In You,Walter Beasley
2023-05-10 23:07:46,I Keep Forgettin',Allen Hinds
2023-05-10 23:10:05,Tin Tin Deo,David Sanborn
2023-05-10 23:17:37,Find It In Your Heart,Michael McDonald
2023-05-10 23:23:25,Everybody Get Up,Patrick Lamb
2023-05-10 23:26:19,Bo Ba Be Da,Herbie Hancock
2023-05-10 23:35:01,Barcelona Nights,Ottmar Liebert
2023-05-10 23:39:04,Workin' It Out,Jason Jackson
2023-05-10 23:43:07,Daddy-O,Joyce Cooling
2023-05-10 23:48:20,The Look of Love,Marilyn Scott
2023-05-10 23:54:43,Snakebite,Jeff Lorber
2023-05-10 23:58:48,Skyway,Steve Oliver
2023-05-11 00:02:51,Soulmate,Nicholas Cole
2023-05-11 00:05:46,All For One,Allen Carman Project
2023-05-11 00:09:50,Dawn,Nite Flyte
2023-05-11 00:12:10,Healing Song,Gregg Karukas
2023-05-11 00:18:00,Heavyweight,Slim Gambill
2023-05-11 00:22:03,The Wave,Kirk Whalum
2023-05-11 00:27:13,Soul Connection,Brian Simpson
2023-05-11 00:30:06,Homecoming,Acoustic Alchemy
2023-05-11 00:35:52,Take It Uptown,Gino Rosaria
2023-05-11 00:39:54,Do You Remember,Paul Hardcastle
2023-05-11 00:44:31,Simple,Warren Hill
2023-05-11 00:48:33,'Til We're Together Again,Rippingtons
2023-05-11 00:54:19,Born 2 Groove,Euge Groove
2023-05-11 00:58:21,Shape Of My Heart,Lee Ritenour
2023-05-11 01:03:34,The Neck Factor,Marcus Johnson
2023-05-11 01:08:44,Kissing a Star,Deepak Thettu
2023-05-11 01:12:44,Heaven,Boney James/Trina Broussard
2023-05-11 01:16:46,Let's Get Serious,Nick Colionne
2023-05-11 01:19:39,Reverse,Marcus Anderson
2023-05-11 01:23:40,The Gypsy,Urban Knights
2023-05-11 01:27:44,Deja Vu,Walter Beasley
2023-05-11 01:31:47,Point Venus,Jeff Lorber
2023-05-11 01:36:23,It's Personal,Jimmy B
2023-05-11 01:38:40,Smooth Soul,Erin Stevenson
2023-05-11 01:43:16,All I See Is You,Dave Koz
2023-05-11 01:47:18,In This Love,Gregory Goodloe
2023-05-11 01:51:20,Coast To Coast,Vincent Ingala
2023-05-11 01:56:30,Sleepwalk,Larry Carlton
2023-05-11 02:00:31,Inner City Blues (Makes Me Wanna Holler),Richard Elliot
2023-05-11 02:05:40,The One,Greg Manning/Julian Vaughn
2023-05-11 02:10:50,Mas Que Nada,Carol Albert
2023-05-11 02:13:42,Lazy Days,Paul Hardcastle
2023-05-11 02:19:28,Woody's Gap,Roberto Vally
2023-05-11 02:24:38,Astoria,Steve Laury
2023-05-11 02:29:13,Missing You,Jackiem Joyner
2023-05-11 02:33:14,Cruisin' Down Ocean Drive,The Rippingtons
2023-05-11 02:37:49,Missing You,Randal Clark
2023-05-11 02:42:25,Too In Love,David Benoit/Jane Monheit
2023-05-11 02:47:02,Groove Central,Lemek
2023-05-11 02:52:12,Get On,Paolo
2023-05-11 02:57:22,Breathe,Daryl Beebe
2023-05-11 03:01:23,Ooh la La,Jeff Lorber
2023-05-11 03:04:50,Forecast,Jazz Funk Soul
2023-05-11 03:10:01,Take Me Higher,Fertile Ground
2023-05-11 03:14:37,Nightshift,Gregg Karukas
2023-05-11 03:18:05,Wrapped Up In Your Smile,Dave Koz
2023-05-11 03:23:51,The Way Home,Chris Botti
2023-05-11 03:27:18,Ridin' The Wave,Vincent Ingala
2023-05-11 03:30:44,Spin Cycle,Drew Davidsen
2023-05-11 03:35:20,Right In There,Kombo
2023-05-11 03:38:48,Just the Way You Are,Diana Krall
2023-05-11 03:44:33,How I Feel With You,Jeff Ryan
2023-05-11 03:48:01,24/7,Paul Brown
2023-05-11 03:52:37,108 Degrees,Alex Bugnon
2023-05-11 03:57:12,Living Water,Tony Craddock Jr/Ken Navarro
2023-05-11 04:00:41,Flying East,Fourplay
2023-05-11 04:07:34,Moon Goddess,Michael Lington
2023-05-11 04:10:27,Berimbau/Consolacao,Sergio Mendes/Stevie Wonder
2023-05-11 04:14:28,The Circle,Paul Hardcastle
2023-05-11 04:15:03,Berimbau/Consolacao,Sergio Mendes/Stevie Wonder
2023-05-11 04:15:37,The Circle,Paul Hardcastle
2023-05-11 04:18:30,Night In the Algarve,Nils
2023-05-11 04:22:33,Let It Go,Boney James
2023-05-11 04:26:35,It's You,Lin Rountree
2023-05-11 04:30:37,The Way to You,Nelson Rangell
2023-05-11 04:35:14,NuJazzy,Bobby Lyle
2023-05-11 04:39:50,Spoon,Grace Kelly
2023-05-11 04:43:19,Turn It Out,Peter White
2023-05-11 04:49:38,Taboo,Damien Escobar
2023-05-11 04:51:56,Smooth Operator,Greg Adams
2023-05-11 04:56:34,Happy Hour,Chuck Loeb/Mitchel Forman
2023-05-11 05:01:45,My Pleasure,Walter Beasley
2023-05-11 05:06:24,Magic Mirror,Carol Albert
2023-05-11 05:11:03,Open Up,Lindsey Webster
2023-05-11 05:16:17,Affirmation,George Benson
2023-05-11 05:22:08,Trying To Get Back Home,Bill Heller
2023-05-11 05:26:12,Stay Awhile,Jay Soto
2023-05-11 05:29:42,Coastin',Julian Vaughn
2023-05-11 05:33:11,Pamela,Brian Hughes
2023-05-11 05:39:00,Open Road,Paula Atherton
2023-05-11 05:43:38,High Street,Bona Fide
2023-05-11 05:47:43,Coming Home,Jonathan Butler
2023-05-11 05:52:22,Dream Walk,Keiko Matsui
2023-05-11 05:57:02,Rit's House,Lee Ritenour
2023-05-11 06:01:47,Lisa,Chris Botti
2023-05-11 06:06:25,That Special Touch,Kim Waters
2023-05-11 06:12:17,Who Will Comfort Me,Melody Gardot
2023-05-11 06:16:57,Club Havana,Benoit/Freeman Project
2023-05-11 06:21:43,Cruisin' On Sunset,Mike Phillips
2023-05-11 06:25:14,Restoration,Bob James
2023-05-11 06:31:41,On A Roll,Quintin Gerard W.
2023-05-11 06:34:35,Exotic Love,Bobby Lyle
2023-05-11 06:41:00,Heavyweight,Slim Gambill
2023-05-11 06:44:32,Teach Me Tonight,Jeffrey Osborne
2023-05-11 06:48:03,By My Side,Gerald Albright
2023-05-11 06:52:41,Conversations,Freddie Ravel
2023-05-11 06:56:45,18th & Vine,Julian Vaughn
2023-05-11 07:01:30,It's All Love,"Chris ""Big Dog"" Davis"
2023-05-11 07:05:35,KJ's Vybe,Kevin Jackson
2023-05-11 07:09:02,Good Morning,Walter Beasley
2023-05-11 07:13:41,Buy Me Love,Chance Howard/Candy Dulfer
2023-05-11 07:18:20,Let It Breathe,Michael Broening
2023-05-11 07:21:49,Lavish,Special EFX
2023-05-11 07:25:53,Ashland,Randal Clark
2023-05-11 07:30:32,Cafe Reggio,Zachary Breaux
2023-05-11 07:35:45,Groove Together,Jayson Tipp
2023-05-11 07:39:49,So Much in Love,Paul Hardcastle
2023-05-11 07:44:27,Atmosphere,Brien Andrews/Jermain Morgan
2023-05-11 07:48:31,Hippies on a Corner,Joe Sample
2023-05-11 07:54:55,Mirage,Steve Cole
2023-05-11 07:59:34,Whispers and Promises,Earl Klugh
2023-05-11 08:04:53,Groove Factor,Skinny Hightower
2023-05-11 08:10:06,Pass It On,Jeff Golub
2023-05-11 08:14:11,When You Cry,DW3
2023-05-11 08:19:25,Easy,Tim Bowman
2023-05-11 08:23:30,Calle Ocho,Spyro Gyra
2023-05-11 08:28:42,On The Upside,Steve Oliver/Warren Hill
2023-05-11 08:32:10,Full Court Press,Ragan Whiteside
2023-05-11 08:36:50,Magical,Jonathan Fritzen/Boney James
2023-05-11 08:41:28,You Move Me,Cassandra Wilson
2023-05-11 08:44:57,In the Moment,Gerald Albright/Norman Brown
2023-05-11 08:49:38,Steps On The Globe,Keiko Matsui
2023-05-11 08:54:17,When Love Comes Around,The Braxton Brothers
2023-05-11 08:58:57,Bossman,Ron Bosse
2023-05-11 09:01:51,Talkin' Bout Love,Peter White
2023-05-11 09:06:31,R U Serious,"Chris ""Big Dog"" Davis/Carl Cox"
2023-05-11 09:10:04,Max-O-Man,Fourplay
2023-05-11 09:16:31,Better Than Anything,Natalie Cole & Diana Krall
2023-05-11 09:19:25,Let's Move,Eric Valentine/Richard Elliot
2023-05-11 09:24:04,Desire,Paul Hardcastle
2023-05-11 09:28:43,Groove Central,Lemek
2023-05-11 09:34:31,Glow,Kirk Whalum
2023-05-11 09:40:19,Lean In,Lizz Wright
2023-05-11 09:44:58,When I Say Your Name,Brian Simpson
2023-05-11 09:47:17,Jamaica Heartbeat,Acoustic Alchemy
2023-05-11 09:53:40,Full Circle,Daryl Beebe
2023-05-11 09:57:45,Cause We've Ended as Lovers,Chieli Minucci
2023-05-11 10:02:24,Play It Forward,James Lloyd
2023-05-11 10:07:03,Ridin' The Wave,Vincent Ingala
2023-05-11 10:09:57,Astro,Drew Davidsen
2023-05-11 10:14:37,I Dont Mind,Maysa
2023-05-11 10:19:51,Motor City Moves,J White/Lin Rountree
2023-05-11 10:23:55,Lights Out San Francisco,Craig Chaquico
2023-05-11 10:24:29,Motor City Moves,J White/Lin Rountree
2023-05-11 10:25:04,Lights Out San Francisco,Craig Chaquico
2023-05-11 10:28:01,Thursday,Steve Cole
2023-05-11 10:33:15,The One,Greg Manning/Julian Vaughn
2023-05-11 10:36:46,Turkish,Rick Braun
2023-05-11 10:41:27,Walk on By,Bobby Caldwell
2023-05-11 10:45:32,Positive Vibe,Pamela Williams
2023-05-11 10:49:37,Just Like That,Nick Colionne
2023-05-11 10:53:43,Miles After Dark,David Benoit
2023-05-11 10:59:02,One In A Million,David Sanborn
2023-05-11 11:01:58,James,Pat Metheny
2023-05-11 11:02:34,One In A Million,David Sanborn
2023-05-11 11:03:09,James,Pat Metheny
2023-05-11 11:09:01,Piermont Nights,Jazz Holdouts
2023-05-11 11:09:36,James,Pat Metheny
2023-05-11 11:10:12,Piermont Nights,Jazz Holdouts
2023-05-11 11:13:08,Soul Vibration,Chris Standring
2023-05-11 11:19:37,'Til You Come Back to Me,Rachelle Ferrell
2023-05-11 11:25:29,Night In the Algarve,Nils
2023-05-11 11:29:37,Reck'n So,Kirk Whalum
2023-05-11 11:33:09,I Keep Forgettin',Allen Hinds
2023-05-11 11:36:41,Pop Virgil,Stanley Clarke
2023-05-11 11:37:16,I Keep Forgettin',Allen Hinds
2023-05-11 11:37:51,Pop Virgil,Stanley Clarke
2023-05-11 11:40:47,Hang Time,Michael Paulo
2023-05-11 11:44:19,Eastern Sky,Fourplay
2023-05-11 11:50:46,Timeline,Cal Harris Jr.
2023-05-11 11:55:29,Everybody Get Up,Patrick Lamb
2023-05-11 11:59:35,Costa Del Sol,The Rippingtons
2023-05-11 12:03:42,For The Cool In You,Cindy Bradley
2023-05-11 12:07:50,Can't Stop Now,Vincent Ingala
2023-05-11 12:13:07,The Ghetto,George Benson
2023-05-11 12:17:50,Reverse,Marcus Anderson
2023-05-11 12:21:21,Midnight,Brian Culbertson & Marcus Miller
2023-05-11 12:21:57,Reverse,Marcus Anderson
2023-05-11 12:22:33,Midnight,Brian Culbertson & Marcus Miller
2023-05-11 12:25:30,Skyway,Steve Oliver
2023-05-11 12:29:38,She Loves Me,Andy Snitzer
2023-05-11 12:34:56,Key To Paradise,Roman Street
2023-05-11 12:39:04,Love And Nothing Less,Keiko Matsui/Lalah Hathaway
2023-05-11 12:42:36,Europa,Denny Jiosa
2023-05-11 12:49:03,Twinkle,Greg Manning
2023-05-11 12:52:36,All For One,Allen Carman Project
2023-05-11 12:56:13,Sneakin' In The Front Door,Chris Standring
2023-05-11 13:00:21,So into You,Steve Cole
2023-05-11 13:04:28,Soul Connection,Brian Simpson
2023-05-11 13:08:00,Cachaca,Richard Elliot
2023-05-11 13:12:06,Deep Waters,Incognito
2023-05-11 13:18:32,Cruisin' On Sunset,Mike Phillips
