time_stamp,song,artist
2023-05-08 08:07:15,100% Cotton,Nathan Mitchell
2023-05-08 08:09:39,Here and Now,Jeff Kashiwa
2023-05-08 08:13:14,True to Myself,Incognito
2023-05-08 08:19:09,Missing You,Jackiem Joyner
2023-05-08 08:23:18,Wednesday,Rob Mullins
2023-05-08 08:28:04,Expression,Joyce Cooling
2023-05-08 08:32:26,Reverse,Marcus Anderson
2023-05-08 08:35:58,Driftin',Earl Klugh
2023-05-08 08:39:30,Dreams,Paul Hardcastle
2023-05-08 08:43:02,Mr. Chow,Acoustic Alchemy
2023-05-08 08:46:35,Full Circle,Daryl Beebe
2023-05-08 08:50:08,Morning Walk,Brian Culbertson
2023-05-08 08:54:52,Bounce,Najee
2023-05-08 08:58:24,Walk in the Night,Shakatak
2023-05-08 09:03:10,If I Could Fly,Vincent Ingala
2023-05-08 09:06:43,The One,Greg Manning/Julian Vaughn
2023-05-08 09:11:26,Mystique,Richard Elliot
2023-05-08 09:16:11,Knockin' on Heaven's Door,Randy Crawford/David Sanborn
2023-05-08 09:20:55,And Now This,Paul Taylor
2023-05-08 09:24:29,Way Up,Wayman Tisdale
2023-05-08 09:29:13,Just Like That,Nick Colionne
2023-05-08 09:33:59,Persuasion,Brian Simpson/Boney James
2023-05-08 09:37:33,Turkish,Rick Braun
2023-05-08 09:42:17,Deeper,Pete Belasco
2023-05-08 09:48:15,I'll Love You,Joe Sample
2023-05-08 09:52:59,On the Strip,Marc Antoine
2023-05-08 09:58:56,Atmosphere,Brien Andrews/Jermain Morgan
2023-05-08 10:02:30,World of Wonder,Lawson Rollins/3rd Force
2023-05-08 10:06:04,Third Encounter,David Benoit
2023-05-08 10:12:00,How I Feel With You,Jeff Ryan
2023-05-08 10:16:42,Grass Roots,Joyce Cooling
2023-05-08 10:20:52,Smooth Soul,Erin Stevenson
2023-05-08 10:24:27,Open Road,Paula Atherton
2023-05-08 10:29:11,The Girls Next Door,Pat Metheny Group
2023-05-08 10:35:06,R U Serious,"Chris ""Big Dog"" Davis/Carl Cox"
2023-05-08 10:39:15,I Showed Them,Poncho Sanchez
2023-05-08 10:47:04,A Coastal Breeze,A. Ray Fuller
2023-05-08 10:51:15,Soul Appeal,Michael Lington
2023-05-08 10:56:33,Groove Factor,Skinny Hightower
2023-05-08 11:02:29,Brazilia,Wayman Tisdale
2023-05-08 11:05:26,In The Bag,Dean Mongerio
2023-05-08 11:09:37,18th & M,Marcus Johnson
2023-05-08 11:12:35,On A Roll,Quintin Gerard W.
2023-05-08 11:16:46,The Music Inside,Chuck Loeb
2023-05-08 11:22:40,Blue Horizon,Maysa
2023-05-08 11:26:49,Off The Top,Kim Scott
2023-05-08 11:32:07,Pleasure Seeker,Paul Taylor
2023-05-08 11:35:39,Magic Mirror,Carol Albert
2023-05-08 11:40:22,Angela,The Rippingtons
2023-05-08 11:45:41,Feel The Breeze,Shaun LaBelle/Patrice Rushen
2023-05-08 11:49:14,Back into My Heart,Chris Botti
2023-05-08 11:53:23,Forever,Mindi Abair
2023-05-08 11:57:30,Let's Stay In Tonight,Brian Culbertson
2023-05-08 12:04:34,For The Cool In You,Cindy Bradley
2023-05-08 12:08:09,Escape,Jim Brickman/Marc Antoine
2023-05-08 12:12:18,Sunset Bay,The Braxton Brothers
2023-05-08 12:12:53,Escape,Jim Brickman/Marc Antoine
2023-05-08 12:13:28,Sunset Bay,The Braxton Brothers
2023-05-08 12:17:04,Steps On The Globe,Keiko Matsui
2023-05-08 12:21:48,The Next Level,Gerald Albright
2023-05-08 12:27:09,Precious,Carol Duboc/Mindi Abair
2023-05-08 12:31:17,Workin' It Out,Jason Jackson
2023-05-08 12:35:25,Casino,Acoustic Alchemy
2023-05-08 12:41:21,Detour,Boney James
2023-05-08 12:45:28,Let It Breathe,Michael Broening
2023-05-08 12:49:36,Crazy,Justus Brothers/Katrina Anderson
2023-05-08 12:54:19,Long Way from Brooklyn,Down to the Bone
2023-05-08 12:59:04,Nikki's Walk,Jeff Golub
2023-05-08 13:05:01,Forecast,Jazz Funk Soul
2023-05-08 13:09:46,Barenese,Jonathan Butler
2023-05-08 13:13:53,Tantam,Walter Beasley
2023-05-08 13:18:36,I Keep Forgettin',Allen Hinds
2023-05-08 13:21:34,A New Day,Michael Lington
2023-05-08 13:25:43,Buy Me Love,Chance Howard/Candy Dulfer
2023-05-08 13:29:51,Easy Livin',Norman Brown
2023-05-08 13:34:36,Brand New Day,Soundscape UK
2023-05-08 13:38:08,Velocity,John E. Lawrence
2023-05-08 13:41:42,Cat Food,Bryan Savage
2023-05-08 13:46:28,Dreamin',Chris Godber
2023-05-08 13:50:36,Daydreaming,Will Downing
2023-05-08 13:54:45,Inner Changes,Paul Hardcastle
2023-05-08 13:59:33,Paris Groove,Rippingtons
2023-05-08 14:03:43,Everybody Get Up,Patrick Lamb
2023-05-08 14:07:52,Chill Or Be Chilled,Oli Silk
2023-05-08 14:11:26,Chris,Pat Metheny Group
2023-05-08 14:14:59,Ridin' The Wave,Vincent Ingala
2023-05-08 14:17:56,Bali Run,Fourplay
2023-05-08 14:23:51,The Moon And The Sky,Sade
2023-05-08 14:29:10,Everlasting,Darren Rahn
2023-05-08 14:32:43,Playin',Brian Culbertson
2023-05-08 14:36:53,Groove Central,Lemek
2023-05-08 14:42:49,Palmetto Park,Benoit/Freeman Project
2023-05-08 14:45:47,I Can't Tell You Why,DW3/Paul Brown
2023-05-08 14:49:55,Reverse,Marcus Anderson
2023-05-08 14:54:04,Conversation Piece,Wayman Tisdale ft. Bob James
2023-05-08 14:59:25,In This Love,Gregory Goodloe
2023-05-08 15:03:37,Smiles and Smiles to Go,Larry Carlton
2023-05-08 15:09:33,"Journey ""To The Doc""",Phillip Doc Martin
2023-05-08 15:12:32,Walking in Rhythm,Joe McBride
2023-05-08 15:18:28,Won't You Stay,Norman Brown
2023-05-08 15:22:36,Groove Together,Jayson Tipp
2023-05-08 15:26:45,Bueno Funk,Peter White
2023-05-08 15:30:20,The One,Greg Manning/Julian Vaughn
2023-05-08 15:30:57,Bueno Funk,Peter White
2023-05-08 15:31:33,The One,Greg Manning/Julian Vaughn
2023-05-08 15:35:44,Undercover,Art Porter
2023-05-08 15:40:27,It's Personal,Jimmy B
2023-05-08 15:44:37,Love And Nothing Less,Keiko Matsui/Lalah Hathaway
2023-05-08 15:48:09,End To A Perfect Day,Paul Jackson Jr. f/ Najee
2023-05-08 15:52:52,Birdland,Weather Report
2023-05-08 16:00:34,Just Like That,Nick Colionne
2023-05-08 16:03:38,Jamming,David Garfield
2023-05-08 16:07:49,Coupe DeVille,Brian Bromberg
2023-05-08 16:10:48,Lovers Melody,Ryan La Valette/Nicholas Cole
2023-05-08 16:15:33,Miss Bane,Euge Groove
2023-05-08 16:21:29,Family Reunion,George Benson
2023-05-08 16:26:12,Turkish,Rick Braun
2023-05-08 16:30:19,Bumper to Bumper,FOUR 80 EAST
2023-05-08 16:34:30,By My Side,Gerald Albright
2023-05-08 16:39:14,Human Nature,Miles Davis
2023-05-08 16:43:24,Open Road,Paula Atherton
2023-05-08 16:47:34,Don't Need The Real Thing,Kandace Springs
2023-05-08 16:51:10,Bird Island,Paul Hardcastle
2023-05-08 16:55:20,Keepin' It Real,Joe McBride & the Texas Rhythm Club
2023-05-08 17:01:19,Skyway,Steve Oliver
2023-05-08 17:04:19,Velvet Groove,Eric Valentine
2023-05-08 17:08:28,Once in the A.M.,Fourplay
2023-05-08 17:15:05,It's You,Lin Rountree
2023-05-08 17:19:14,Come As You Are,Mindi Abair
2023-05-08 17:24:00,Sometimes I Do,The Manhattan Transfer
2023-05-08 17:28:10,Stand Up!,Roberto Restuccia
2023-05-08 17:32:20,In the House,Kim Waters
2023-05-08 17:37:05,Slam Dunk,Wayman Tisdale
2023-05-08 17:41:51,Bossman,Ron Bosse
2023-05-08 17:45:26,Sacred Kind Of Love,Grover Washington Jr/Phyllis Hyman
2023-05-08 17:51:24,Get 'Em Goin',Euge Groove
2023-05-08 17:57:16,When We Dance,Ken Navarro
2023-05-08 18:01:59,Deja Vu,Walter Beasley
2023-05-08 18:04:57,Cascade,Alex Bugnon
2023-05-08 18:10:15,Slow Burn,Spyro Gyra
2023-05-08 18:13:48,Coastin',Julian Vaughn
2023-05-08 18:17:20,Sunrise,Jay Beckestein
2023-05-08 18:24:28,No Rhyme No Reason,George Duke
2023-05-08 18:28:01,Full Court Press,Ragan Whiteside
2023-05-08 18:32:12,Take Five,XL & Eric Singleton
2023-05-08 18:38:07,Taboo,Damien Escobar
2023-05-08 18:42:14,LA By Bike,Lee Ritenour
2023-05-08 18:48:07,Cruisin' On Sunset,Mike Phillips
2023-05-08 18:51:04,I Dont Mind,Maysa
2023-05-08 18:56:20,Dr. Macumba,Earl Klugh
2023-05-08 19:00:27,Moon Over Gotham,Keiko Matsui
2023-05-08 19:05:10,For The Cool In You,Cindy Bradley
2023-05-08 19:09:51,City of Joy,Yulara
2023-05-08 19:13:59,4AM,Nite Flyte
2023-05-08 19:18:06,That Special Touch,Kim Waters
2023-05-08 19:22:12,Show Me The Way,Gregg Karukas
2023-05-08 19:28:07,The Look of Love,Chris Botti
2023-05-08 19:32:49,Night In the Algarve,Nils
2023-05-08 19:36:55,Sedona,Gerald Albright
