time_stamp,song,artist
2022-12-17 10:45:49,The Thrill Is Gone,Jeff Golub
2022-12-17 10:46:27,It's Christmas,Michael J. Thomas/Maysa
2022-12-17 10:50:06,Groove Assets,Richard Smith
2022-12-17 10:56:11,Harlem on My Mind,Alex Bugnon
2022-12-17 11:02:14,Play,Michael Lington
2022-12-17 11:05:13,Santa Baby,Herb Alpert
2022-12-17 11:08:17,If I Didn't Have Love,Chelsea Nichole
2022-12-17 11:12:30,Night Flight,Joe Sample
2022-12-17 11:17:18,Broken Promises,Quintin Gerard W.
2022-12-17 11:20:58,Carol of the Bells,David Benoit
2022-12-17 11:25:10,Come What May,Najee
2022-12-17 11:28:10,Turkish,Rick Braun
2022-12-17 11:32:59,Wait a Little While,Dave Koz
2022-12-17 11:39:36,Night Flight,Jeremy Sean Hector
2022-12-17 11:43:12,Ain't No Sunshine,Boney James
2022-12-17 11:47:26,Quiet Groove,Paul Hardcastle
2022-12-17 11:51:39,The Christmas Song,Daryl Beebe
2022-12-17 11:55:15,Force,Judah Sealy
2022-12-17 11:59:29,Here With You,Brian Simpson
2022-12-17 12:03:07,Kinetic,Groove Frequencies
2022-12-17 12:07:20,Christmas Time Is Here,Jaared
2022-12-17 12:12:52,As,Wendy Moten
2022-12-17 12:15:16,The Wave,Kirk Whalum
2022-12-17 12:21:18,Perfect Timing,Lisa Addeo
2022-12-17 12:24:21,Do You Hear What I Hear?,Marcus Anderson/James Lloyd
2022-12-17 12:32:13,Quiet Beauty,Special EFX
2022-12-17 12:37:04,NuJazzy,Bobby Lyle
2022-12-17 12:41:19,"Close Your Eyes, Free Your Mind",Steve Cole
2022-12-17 12:44:22,Drive,Cindy Bradley
2022-12-17 12:49:55,Walkin' Down Beale Street,Gerald Albright
2022-12-17 12:54:46,Let It Snow,Brian Bromberg/Maysa/Chris Walker
2022-12-17 12:57:49,Good On You,Will Donato
2022-12-17 13:00:57,See You At The Get Down,Ragan Whiteside
2022-12-17 13:05:47,A Coastal Breeze,A. Ray Fuller
2022-12-17 13:09:27,Winter Wonderland,Hiroshima
2022-12-17 13:14:18,Bring It,Kim Waters
2022-12-17 13:19:08,Unlimited Love,Jazzmasters
2022-12-17 13:22:49,Convergency,Candy Dulfer
2022-12-17 13:26:25,It's The Most Wonderful Time Of The Year,Brian McKnight
2022-12-17 13:29:26,Moon Glide,Praful
2022-12-17 13:33:04,Pastel Leather,Althea Rene
2022-12-17 13:37:59,What Does It Take (To Win Your Love),Peter White
2022-12-17 13:41:40,Bring It Back,Boney James
2022-12-17 13:45:56,Is It A Crime,Sade
2022-12-17 13:51:47,All I Want for Christmas Is You,Eric Darius
2022-12-17 13:57:14,Stickwidit,Carl Cox
2022-12-17 14:01:34,Cookie Strut,Four 80 East
2022-12-17 14:05:50,Highway 10,Ryan La Valette
2022-12-17 14:08:50,It Came Upon A Midnight Clear,Fourplay
2022-12-17 14:13:43,Buy Me Love,Chance Howard/Candy Dulfer
2022-12-17 14:17:58,People Make the World Go Round,Richard Elliot
2022-12-17 14:24:05,Step To This,Nick Colionne
2022-12-17 14:27:08,Santa Claus Is Coming To Town,Kenny G
2022-12-17 14:30:47,Grass Roots,Joyce Cooling
2022-12-17 14:35:03,Eddie's Groove,Gerald Albright
2022-12-17 14:39:58,Later Tonight,Brian Culbertson
2022-12-17 14:45:25,November's Child,Special EFX/Chieli Minucci
2022-12-17 14:49:46,Now What,Walter Beasley
2022-12-17 14:54:02,It's Christmas,Jamie Cullum
2022-12-17 14:57:07,Let's Get Down Tonight,Adam Hawley
2022-12-17 15:01:58,Where the Night Begins,Steve Cole
2022-12-17 15:06:12,Lost Words,Philippe Saisse/Marc Antoine
2022-12-17 15:09:49,Nothing Ever Hurt Like You,Mindi Abair
2022-12-17 15:14:08,Nightlife,Jeff Golub & Avenue Blue
2022-12-17 15:19:03,I'll Be Home for Christmas,Anita Baker
2022-12-17 15:23:58,Velvet Groove,Eric Valentine
2022-12-17 15:27:39,Say It Aint Good To Ya,Byron Miller
2022-12-17 15:32:31,Body Language,Boney James
2022-12-17 15:36:48,Paradigm Shift,Carol Albert/Paul Brown
2022-12-17 15:41:44,Shake Your Body (Down To The Ground),BWB
2022-12-17 15:47:12,Business As Usual,Sean U
2022-12-17 15:49:02,Deck The Halls,Chris Standring
2022-12-17 15:52:57,The Best Is Yet to Come,"Grover Washington, Jr."
2022-12-17 15:59:37,Beat Street,David Benoit
2022-12-17 16:03:57,God Rest Ye Merry Gentlemen,Take 6/Yellowjackets
2022-12-17 16:08:48,Bounce Wid' It,Paul Jackson Jr.
2022-12-17 16:11:50,Hold Me Tight,Richard Elliot
2022-12-17 16:16:40,Wait and See,Karla Leal
2022-12-17 16:20:54,Edelweiss,Jeff Kashiwa
2022-12-17 16:23:55,Seduction,Special EFX
2022-12-17 16:28:11,Joy Dance,Kim Waters
2022-12-17 16:32:27,My Cherie Amour,Peter White
2022-12-17 16:36:08,Busta Move,Julian Vaughn
2022-12-17 16:39:46,Believe,Erin Stevenson/Paul Brown
2022-12-17 16:44:03,Jingle Bells,Jay Rowe
2022-12-17 16:48:21,Montreux,Walter Beasley
2022-12-17 16:53:16,Take Your Time,Brian Culbertson
2022-12-17 16:58:08,Passport to Paradise,Elan Trotman
2022-12-17 17:02:26,I Really Don't Want Much For Christmas,Chris Botti/Eric Benet
2022-12-17 17:06:05,Walkin' to Freedom,Paul Hardcastle
2022-12-17 17:10:26,Street Life,U-Nam
2022-12-17 17:15:55,Stone Cold,Pamela Williams
2022-12-17 17:19:55,Merry Christmas Baby,Kem
2022-12-17 17:21:44,Bada Bing,Dave Koz
2022-12-17 17:26:39,Let It Breathe,Michael Broening
2022-12-17 17:31:33,Dance With Me,Jackiem Joyner
2022-12-17 17:37:06,Ride With Me,JJ Sansaverino
2022-12-17 17:40:46,In My Heart,Anita Baker
2022-12-17 17:46:19,The Christmas Song,David Garfield/Brandon Fields
2022-12-17 17:49:20,Off The Top,Kim Scott
