time_stamp,song,artist
2023-05-06 22:40:21,No Greater Love,George Duke
2023-05-06 22:41:35,Ridin' The Wave,Vincent Ingala
2023-05-06 22:44:33,Celebration,Norman Brown
2023-05-06 22:48:43,That Beat,The 3 Keys
2023-05-06 22:53:27,Smooth Soul,Erin Stevenson
2023-05-06 22:57:01,Red Baron,David Benoit Trio
2023-05-06 23:01:49,Groove Central,Lemek
2023-05-06 23:07:14,Between Love & Magic,Stanley Clarke
2023-05-06 23:10:50,Night On The Town,Eric Darius
2023-05-06 23:15:38,Steps On The Globe,Keiko Matsui
2023-05-06 23:19:49,Twice in a Lifetime,Michael Lington
2023-05-06 23:24:01,Waters of March,Jane Monheit
2023-05-06 23:28:46,Detour,Boney James
2023-05-06 23:33:32,Outta Sight,Nils
2023-05-06 23:37:08,Grasshopper,Jeff Lorber
2023-05-06 23:40:43,Convergency,Candy Dulfer
2023-05-06 23:44:19,Escape,Adam Hawley
2023-05-06 23:47:55,"Baby, Come To Me",Eliane Elias
2023-05-06 23:52:42,Water to Drink (Agua de Beber),Lee Ritenour/Dave Grusin
2023-05-06 23:58:41,Piermont Nights,Jazz Holdouts
2023-05-07 00:02:16,At Last,Ronny Jordan
2023-05-07 00:07:03,Deja Vu,Walter Beasley
2023-05-07 00:10:36,Anything and Everything,Chieli Minucci
2023-05-07 00:15:59,Key To Paradise,Roman Street
2023-05-07 00:19:34,Forward Emotion,Pieces Of A Dream
2023-05-07 00:24:20,Groove With Me,Willie Bradley
2023-05-07 00:27:54,Boulevard,Peter White
2023-05-07 00:33:52,Cruisin' On Sunset,Mike Phillips
2023-05-07 00:36:17,Feelin' Good,Nina Simone/Joe Claussell
2023-05-07 00:43:27,Coastin',Julian Vaughn
2023-05-07 00:47:02,Bingo Jingo,Rippingtons
2023-05-07 00:51:52,All For You,Euge Groove
2023-05-07 00:55:26,Rural Renewal,The Crusaders
2023-05-07 01:01:25,I'm All Ears,Cindy Bradley
2023-05-07 01:06:13,By My Side,Gerald Albright
2023-05-07 01:10:59,Good Morning Heartache,Chris Botti/Jill Scott
2023-05-07 01:16:57,Shakin' Not Stirred,Brian Hughes
2023-05-07 01:21:43,Breakin’ Away,Carl Cox
2023-05-07 01:25:16,Dreamin',George Benson & Earl Klugh
2023-05-07 01:31:48,Right In There,Kombo
2023-05-07 01:36:00,Traveling Mood,Adam Hawley/Julian Vaughn
2023-05-07 01:38:59,Fresh Start,Kyle Schroeder
2023-05-07 01:42:34,Lazy Afternoon,Regina Belle
2023-05-07 01:47:21,"Journey ""To The Doc""",Phillip Doc Martin
2023-05-07 01:52:08,Go,Brian Culbertson
2023-05-07 01:55:43,I Want You Girl,BWB
2023-05-07 02:00:29,The Weekend,Nicholas Cole
2023-05-07 02:04:04,Always Thinking of You,Nick Colionne
2023-05-07 02:07:39,That Special Touch,Kim Waters
2023-05-07 02:13:35,Waiting In Vain,Nicole Henry
2023-05-07 02:18:24,Katherine,Jeff Lorber
