time_stamp,song,artist
2022-12-12 23:44:53,Any Love,Kirk Whalum
2022-12-12 23:46:53,Believe,Erin Stevenson/Paul Brown
2022-12-12 23:49:53,All I Want For Christmas,Herb Alpert
2022-12-12 23:53:54,The Drive,Geneve 5
2022-12-12 23:56:55,Co-Motion,Lemek
2022-12-13 00:00:55,The Promise,Urban Knights
2022-12-13 00:05:56,Static in the Attic,Chris Standring
2022-12-13 00:09:26,Christmas Time Is Here,Kem
2022-12-13 00:13:57,Paradigm Shift,Carol Albert
2022-12-13 00:17:57,Silk,Rick Braun
2022-12-13 00:21:28,LA By Bike,Lee Ritenour
2022-12-13 00:27:29,Bona Fide,Julian Vaughn
2022-12-13 00:31:29,A Coastal Breeze,A. Ray Fuller
2022-12-13 00:35:00,Feliz Navidad,Tom Scott
2022-12-13 00:39:30,Wild Tales,Rippingtons
2022-12-13 00:44:01, ,
2022-12-13 00:49:32,Buy Me Love,Chance Howard/Candy Dulfer
2022-12-13 00:50:02,God Rest Ye Merry Gentlemen/My Favorite Things,Dave Koz
2022-12-13 00:53:02, ,
2022-12-13 01:01:03,Flow,Ace Livingston
2022-12-13 01:03:03, ,
2022-12-13 01:03:33,Step To This,Nick Colionne
