time_stamp,song,artist
2022-12-14 17:25:04,Turkish,Rick Braun
2022-12-14 17:27:32,Sleigh Ride,Blake Aaron
2022-12-14 17:30:35,Daft Funk,Nathan East
2022-12-14 17:35:27,Perfect Timing,Lisa Addeo
2022-12-14 17:39:43,Blondes & Bottles,Greg Adams
2022-12-14 17:43:30,A Coastal Breeze,A. Ray Fuller
2022-12-14 17:47:52,I Couldn't Love You More,Sade
2022-12-14 17:51:39,The Most Wonderful Time Of The Year,Brian Bromberg
2022-12-14 17:56:36,Missing You,Randal Clark
2022-12-14 18:01:39,Green Impala,Joyce Cooling
2022-12-14 18:05:58,Honestly,Jeff Ryan
2022-12-14 18:10:20,Away In The Manger,Brian Simpson
2022-12-14 18:14:05,Show Me,Rebecca Jade
2022-12-14 18:17:47,Brighter Day,Russ Freeman
2022-12-14 18:22:47,Joy Dance,Kim Waters
2022-12-14 18:27:10,Skating,David Benoit
2022-12-14 18:30:52,Silverbird,Jeff Jarvis
2022-12-14 18:35:15,Quantum Soul,Keith Andrew
2022-12-14 18:38:22,South for the Winter,Bob Mamet
2022-12-14 18:43:58,Leather Jacket,John E. Lawrence
2022-12-14 18:47:05,Together Again,Steve Cole
2022-12-14 18:50:49,Why Not,Chris Botti
2022-12-14 18:55:11,Joy To The World,Jay Rowe
2022-12-14 18:58:18,Superstar,Riley Richard
2022-12-14 19:02:01,Right Around The Corner,Nick Colionne
2022-12-14 19:06:58,Play,Michael Lington
2022-12-14 19:10:06,I've Got My Love to Keep Me Warm,Dave Koz/India Arie/Trombone Shorty
2022-12-14 19:13:13,Backstage Pass,Paul Brown
2022-12-14 19:16:21,Vinyl,Boney James
2022-12-14 19:21:56,Easy Livin',Norman Brown
2022-12-14 19:25:04,This Christmas,Brian Culbertson
2022-12-14 19:30:23,Ocean Way,Torcuato Mariano
2022-12-14 19:35:22,Broken Promises,Quintin Gerard W.
2022-12-14 19:39:07,Gypsy Soul,Althea Rene
2022-12-14 19:43:31,After Party,David P Stevens
2022-12-14 19:47:14,When Love Comes Around,The Braxton Brothers
2022-12-14 19:50:58,Daydreaming,Will Downing
2022-12-14 19:55:23,The Christmas Song,Daryl Beebe
2022-12-14 19:59:09,Workin' It Out,Jason Jackson
2022-12-14 20:04:06,On the Move,Count Basic
2022-12-14 20:07:51,Trying To Get Back Home,Bill Heller
2022-12-14 20:11:00,Christmas Card,Brenda Russell
2022-12-14 20:16:08,Lost Summer,Jazzmasters
2022-12-14 20:20:12,Living In The Flow,Bobby Lyle
2022-12-14 20:25:50,Now or Never,Phylicia Rae/Marcus Anderson
2022-12-14 20:28:56,Have Yourself A Merry Little Christmas,Jonathan Butler
2022-12-14 20:33:55,Brazilia,Wayman Tisdale
2022-12-14 20:38:18,Tickle Time,Herb Alpert
2022-12-14 20:40:08,Lotus Leaves,Bob James
2022-12-14 20:46:23,Hustle,Jazz Funk Soul
