time_stamp,song,artist
2022-12-17 22:02:48,Say What,Jackiem Joyner
2022-12-17 22:05:13,Smiles and Smiles to Go,Larry Carlton
2022-12-17 22:11:17,Silent Night,Michael McDonald/David Sanborn
2022-12-17 22:16:06,Perfect Timing,Lisa Addeo
2022-12-17 22:20:56,Sweet Island Love,Jonathan Butler
2022-12-17 22:24:33,Power UP!,Blair Bryant
2022-12-17 22:29:22,This Is The Good One,Kombo
2022-12-17 22:34:13,Christmas Card,Brenda Russell
2022-12-17 22:38:27,Eleanor Rigby,Wes Montgomery
2022-12-17 22:42:05,Motor City Moves,J White/Lin Rountree
2022-12-17 22:45:44,Under Wraps,Jeff Lorber
2022-12-17 22:50:33,The Drive,Geneve 5
2022-12-17 22:55:25,The Holiday's On!,Joyce Cooling
2022-12-17 22:57:52,Rejoyce,David Benoit
2022-12-17 23:01:27,Joy Dance,Kim Waters
2022-12-17 23:06:16,Keep The Faith,U-Nam
2022-12-17 23:11:05,Broken Promises,Quintin Gerard W.
2022-12-17 23:16:31,As,Wendy Moten
2022-12-17 23:20:08,Rudolph The Rednose Reindeer - Frosty The Snowman,Kenny G
2022-12-17 23:23:45,Black Lion,Keiko Matsui
2022-12-17 23:28:33,Blue Sphere,Lars Taylor
2022-12-17 23:32:10,Mango Tango,Richard Elliot
2022-12-17 23:37:03,New Bossa,Les Sabler
2022-12-17 23:40:40,Slam Dunk,Gerald Albright
2022-12-17 23:45:33,M.L. In the Sunshine,Count Basic
2022-12-17 23:50:23,Happy Xmas (War Is Over)/Imagine,Dave Koz
2022-12-17 23:55:16,Honest,Ryan Montano
2022-12-17 23:58:53,Let It Breathe,Michael Broening
2022-12-18 00:03:46,All About You,Brian Culbertson
2022-12-18 00:06:11,I Wonder as I Wander,New York Voices
2022-12-18 00:12:14,Nothing Ever Hurt Like You,Mindi Abair
2022-12-18 00:17:39,Conversations,Freddie Ravel
2022-12-18 00:22:24,Island World,Hiroshima
2022-12-18 00:26:13,Personal Touch,Vincent Ingala
2022-12-18 00:29:52,Shadow Of Doubt,Chris Standring
2022-12-18 00:34:44,Let It Snow,Brandon Fields
2022-12-18 00:37:10,Every Step of the Way,David Benoit
2022-12-18 00:41:59,Pastel Leather,Althea Rene
2022-12-18 00:45:02,Coastin',Boney James/Lalah Hathaway
2022-12-18 00:48:04,White Christmas,David Garfield
2022-12-18 00:53:31,Make A Wish,U-Nam
2022-12-18 00:56:37,Lifecycle,Nathan East
2022-12-18 01:02:39,Montreux,Walter Beasley
2022-12-18 01:05:41,Europa,Denny Jiosa
2022-12-18 01:10:32,I'll Be Home For Christmas,Kenny G
2022-12-18 01:14:46,Paradigm Shift,Carol Albert/Paul Brown
2022-12-18 01:18:24,Can You Come Over,Jeff Bradshaw/Carol Riddick
2022-12-18 01:23:12,Buckle Up,Nick Colionne/Najee
2022-12-18 01:27:25,Say It Aint Good To Ya,Byron Miller
2022-12-18 01:31:41,O Tannenbaum (O Christmas Tree),Dave Koz and Friends
2022-12-18 01:35:55,Tip of the Hat,Kombo
2022-12-18 01:39:32,Off The Top,Kim Scott
2022-12-18 01:44:57,Matteo,Basia
2022-12-18 01:47:59,Silent Night,Julian Vaughn
2022-12-18 01:52:13,Doctor's Orders,Phillip Doc Martin
2022-12-18 01:55:50,Small Town Girl,Larry Carlton
2022-12-18 02:01:18,Convergency,Candy Dulfer
2022-12-18 02:03:41,Linus and Lucy,David Benoit
2022-12-18 02:07:54,Sleigh Ride,Blake Aaron
2022-12-18 02:11:31,Force,Judah Sealy
2022-12-18 02:15:10,Laid Back,Doc Powell
2022-12-18 02:19:25,Ain't No Sunshine,Eric Essix/Ruben Studdard
