time_stamp,song,artist
2023-05-19 08:23:39, ,
2023-05-19 08:24:54,Inside Stuff,WAYMAN TISDALE
2023-05-19 08:26:08,That's Life,Brian Culbertson
2023-05-19 08:27:21, ,
2023-05-19 08:31:02,Treat Her Right,Jacob Webb
2023-05-19 08:32:14, ,
2023-05-19 08:33:27,Treat Her Right,Jacob Webb
2023-05-19 08:34:39, ,
2023-05-19 08:35:52,Lights of the City,Denny Jiosa
2023-05-19 08:38:18, ,
2023-05-19 08:39:32,Lights of the City,Denny Jiosa
2023-05-19 08:40:08,What's New?,Boz Scaggs
2023-05-19 08:41:21, ,
2023-05-19 08:43:10,What's New?,Boz Scaggs
2023-05-19 08:44:22,The Lady In My Life,George Benson
2023-05-19 08:44:58, ,
2023-05-19 08:46:12,The Lady In My Life,George Benson
2023-05-19 08:48:01, ,
2023-05-19 08:49:13,R U Serious,"Chris ""Big Dog"" Davis/Carl Cox"
2023-05-19 08:49:50, ,
2023-05-19 08:52:51,Here Comes the Night,3rd Force
2023-05-19 08:55:16, ,
2023-05-19 08:59:31,"Journey ""To The Doc""",Phillip Doc Martin
2023-05-19 09:00:43, ,
2023-05-19 09:01:55,The Way Home,Chris Botti
2023-05-19 09:04:56, ,
2023-05-19 09:05:32,The Way Home,Chris Botti
2023-05-19 09:06:49, ,
2023-05-19 09:09:20,Kissing a Star,Deepak Thettu
2023-05-19 09:09:56, ,
2023-05-19 09:13:33,Soul Kisses,Gregg Karukas
2023-05-19 09:14:45, ,
2023-05-19 09:15:21,Soul Kisses,Gregg Karukas
2023-05-19 09:15:58, ,
2023-05-19 09:17:45,Safe In The Arms Of Love,Jamison Ross
2023-05-19 09:18:57, ,
2023-05-19 09:24:21,Bona Fide,Julian Vaughn
2023-05-19 09:27:21, ,
2023-05-19 09:28:00,Skyway,Steve Oliver
2023-05-19 09:30:21, ,
2023-05-19 09:31:32,Skyway,Steve Oliver
2023-05-19 09:32:07, ,
2023-05-19 09:32:42,Mister E,Pete Escovedo
2023-05-19 09:33:18, ,
2023-05-19 09:35:04,Mister E,Pete Escovedo
2023-05-19 09:37:25, ,
2023-05-19 09:40:22,Hang Time,Michael Paulo
2023-05-19 09:40:57,I'm Calling You,Marilyn Scott
2023-05-19 09:41:33, ,
2023-05-19 09:42:09,I'm Calling You,Marilyn Scott
2023-05-19 09:45:08,Autumn Blue,Craig Chaquico
2023-05-19 09:46:54, ,
2023-05-19 09:52:11,Sao Paulo,Rick Braun
2023-05-19 09:53:22,Lovers Melody,Ryan La Valette/Nicholas Cole
2023-05-19 09:53:57, ,
