time_stamp,song,artist
2022-12-14 23:27:17,Still a Friend of Mine,Incognito
2022-12-14 23:28:02,Little Drummer Boy's Dream,Chieli Minnuci
2022-12-14 23:32:31,Big Shot,3rd Force
2022-12-14 23:36:16,Say It Aint Good To Ya,Byron Miller
2022-12-14 23:40:38,Put The Top Down,Dave Koz
2022-12-14 23:45:38,Crush,Blake Aaron
2022-12-14 23:50:38,Vision Accomplished,Pieces of a Dream
2022-12-14 23:53:47,Lady Love Me (One More Time),George Benson
2022-12-14 23:57:31,Five Favorite Things,Kim Scott
2022-12-15 00:01:15,Kiss The Sky,Ron Bosse
2022-12-15 00:05:35,Electric Relaxation,Jeff Lorber
2022-12-15 00:09:19,Oh Christmas Tree,Marcus Anderson
2022-12-15 00:13:42,Turkish,Rick Braun
2022-12-15 00:17:27,If I Didn't Have Love,Chelsea Nichole
2022-12-15 00:22:03,I'm Waiting For You,Jackiem Joyner
2022-12-15 00:25:25,A Coastal Breeze,A. Ray Fuller
2022-12-15 00:29:45,Silver Bells,Michael Lington
2022-12-15 00:33:30,Romance Dance,Peter White
2022-12-15 00:40:22,Eddie's Groove,Gerald Albright
2022-12-15 00:44:07,Waiting In Vain,Nicole Henry
2022-12-15 00:49:07,This Christmas,Ragan Whiteside
2022-12-15 00:52:15,Ready Or Not,Paula Atherton
2022-12-15 00:57:12,Renaissance,Chieli Minucci
2022-12-15 01:02:12,Force,Judah Sealy
2022-12-15 01:05:55,Marrakesh,Acoustic Alchemy
2022-12-15 01:10:17,"Baby, It's Cold Outside",Vanessa Williams & Bobby Caldwell
2022-12-15 01:15:16,Nothing Ever Hurt Like You,Mindi Abair
2022-12-15 01:20:15,Sunny Side Up,Freddie Ravel
2022-12-15 01:23:23,Groovers and Shakers,Blake Aaron
2022-12-15 01:28:22,City Lights,Mike Phillips
2022-12-15 01:30:54,The First Noel,Will Downing
2022-12-15 01:35:50,Cruisin Down The Road,Greg Manning f. Vincent Ingala
2022-12-15 01:39:35,Co-Motion,Lemek
2022-12-15 01:42:41,Eastside,Four80East
2022-12-15 01:50:11,Let It Snow,Brian Bromberg/Maysa/Chris Walker
2022-12-15 01:53:57,Passport to Paradise,Elan Trotman
2022-12-15 01:57:39,It's Time,Brian Culbertson
2022-12-15 02:02:39,Step To This,Nick Colionne
2022-12-15 02:05:46,Good Morning,Walter Beasley
2022-12-15 02:10:09,Winter Wonderland,Herb Alpert/Jeff Lorber
2022-12-15 02:13:55,Let It Breathe,Michael Broening
2022-12-15 02:17:42,SaSSaY,Paul Jackson Jr.
2022-12-15 02:22:38,Rapture,Incognito
2022-12-15 02:27:03,Slam Dunk,Euge Groove
2022-12-15 02:32:00,After Party,David P Stevens
2022-12-15 02:35:08,Do You Hear What I Hear?,David Benoit
2022-12-15 02:39:33,Another Day In Paradise,Boney James
2022-12-15 02:43:18,Groove Assets,Richard Smith
2022-12-15 02:47:02,Deep Into My Soul,Gerald Albright
2022-12-15 02:52:01,The Holiday's On!,Joyce Cooling
2022-12-15 02:55:10,In Too Deep,Pieces Of A Dream
2022-12-15 02:58:52,Fly Like an Eagle,Ed Hamilton
2022-12-15 03:03:14,Joy Dance,Kim Waters
2022-12-15 03:08:12,Snap,Nicholas Cole
2022-12-15 03:12:00,Have Yourself A Merry Little Christmas - Exclusive,Lindsey Webster
2022-12-15 03:17:00,Perfect Timing,Lisa Addeo
2022-12-15 03:21:57,Dressed To Chill,Marion Meadows
2022-12-15 03:25:08,Cool Shades,Chris Standring
2022-12-15 03:28:52,Journey To Love,Nathan Mitchell/Kirk Whalum
2022-12-15 03:35:09,I'll Be Home For Christmas,Brian McKnight
2022-12-15 03:38:13,Going With The Flow,Willie Bradley
2022-12-15 03:41:57,Convergency,Candy Dulfer
2022-12-15 03:45:04,This Is Love,Lee Ritenour
2022-12-15 03:50:00,All I Want For Christmas,Kirk Whalum
2022-12-15 03:53:08,Business As Usual,Sean U
2022-12-15 03:56:51,Window Of The Soul,Chuck Loeb
2022-12-15 04:01:24,Montreux,Walter Beasley
2022-12-15 04:05:09,Happy Go Lucky,Paul Hardcastle
2022-12-15 04:08:51,Christmas Is,Vanessa Williams
2022-12-15 04:13:49,Off The Top,Kim Scott
2022-12-15 04:18:11,You Are Everything,Ken Navarro
2022-12-15 04:23:12,U R the 1,Warren Hill
2022-12-15 04:26:58,Lost Words,Philippe Saisse/Marc Antoine
2022-12-15 04:31:23,Hark The Herald Angels Sing,Jessy J
2022-12-15 04:36:27,Chasing Shadows,Herb Alpert
2022-12-15 04:40:48,Co-Motion,Lemek
2022-12-15 04:44:33,Buy Me Love,Chance Howard/Candy Dulfer
2022-12-15 04:48:57,O Christmas Tree,Julian Vaughn
2022-12-15 04:52:03,This Is The Good One,Kombo
2022-12-15 04:56:27,JJ's Strut,Ragan Whiteside
2022-12-15 05:01:31,Paradigm Shift,Carol Albert
2022-12-15 05:04:37,Chill Factor,Richard Elliot
2022-12-15 05:10:17,My Favorite Time Of Year,Peter Cincotti
2022-12-15 05:14:04,Joy Dance,Kim Waters
2022-12-15 05:17:51,Flying East,Fourplay
2022-12-15 05:24:41,Cruisin' Down Ocean Drive,The Rippingtons
2022-12-15 05:27:49,Electric Shock,Matt Willard
2022-12-15 05:32:51,Angels We Have Heard on High,David Benoit
2022-12-15 05:37:12,As She Moves,Walter Beasley Project
2022-12-15 05:42:12,Turkish,Rick Braun
2022-12-15 05:47:50,Lowdown,Boz Scaggs
2022-12-15 05:52:48,White Christmas,David Garfield
2022-12-15 05:57:46,Say It Aint Good To Ya,Byron Miller
2022-12-15 06:00:54,Cold Duck Time,Jeff Golub
2022-12-15 06:05:51,Perfect Timing,Lisa Addeo
2022-12-15 06:10:12,Tequila Moon,Jessy J
