time_stamp,song,artist
2022-12-20 09:51:59,O Christmas Tree,Warren Wolf
2022-12-20 09:53:55,Let's Get Down Tonight,Adam Hawley
2022-12-20 09:57:42,Look What's Happened,Shilts
2022-12-20 10:02:01,Love Planet,Mark Etheredge
2022-12-20 10:06:56,Christmas Time Is Here,Take 6/Shelea Frazier
2022-12-20 10:08:47,Exotica,Paul Taylor
2022-12-20 10:13:44,Oliver's Twist,Chris Standring
2022-12-20 10:18:44,Off The Top,Kim Scott
2022-12-20 10:22:28,My Favorite Time Of Year,Peter Cincotti
2022-12-20 10:25:37,Chicago Song,David Sanborn
2022-12-20 10:31:48,Step To This,Nick Colionne
2022-12-20 10:36:42,Island Style,Richard Elliot
2022-12-20 10:42:16,November's Child,Special EFX/Chieli Minucci
2022-12-20 10:47:49,Cold Duck,Al Jarreau
2022-12-20 10:50:56,Jingle Bells,Jay Rowe
2022-12-20 10:55:14,Joy Dance,Kim Waters
2022-12-20 11:00:10,Bogota By Bus,Jesse Cook
2022-12-20 11:03:48,The Drive,Geneve 5
2022-12-20 11:06:50,Christmas Is,Vanessa Williams
2022-12-20 11:11:45,Just Between Us,Boney James
2022-12-20 11:16:42,Dreamin',George Benson & Earl Klugh
2022-12-20 11:22:49,Montreux,Walter Beasley
2022-12-20 11:25:51,God Rest Ye Merry Gentlemen,Fourplay
2022-12-20 11:31:58,Amends,Jazmin Ghent
2022-12-20 11:35:38,Let It Breathe,Michael Broening
2022-12-20 11:39:57,Lydian,Norman Brown
2022-12-20 11:46:44,City Lights,Mike Phillips
2022-12-20 11:49:47,Buy Me Love,Chance Howard/Candy Dulfer
2022-12-20 11:54:45,The Christmas Song,Chris Standring
2022-12-20 11:58:24,Perfect Timing,Lisa Addeo
2022-12-20 12:03:18,Take It To The Rink,Kim Scott
2022-12-20 12:07:38,Just Say Yes,Roberto Vally
2022-12-20 12:12:30,Have Yourself A Merry Little Christmas - Exclusive,Lindsey Webster
2022-12-20 12:17:22,Happy Hour,Jimmy Sommers
2022-12-20 12:22:16,Think Free,Brian Culbertson
2022-12-20 12:26:38,Force,Judah Sealy
2022-12-20 12:30:17,Christmas Fantasy,Anita Baker
2022-12-20 12:35:51,News from the Blues,Bob Mamet
2022-12-20 12:39:30,Turkish,Rick Braun
2022-12-20 12:43:48,When I Say Your Name,Brian Simpson
2022-12-20 12:48:43,Secret Sauce,Paul Brown
2022-12-20 12:53:00,Grand Central,Boney James
2022-12-20 12:57:56,It's Christmas,Michael J. Thomas/Maysa
2022-12-20 13:01:34,Paradigm Shift,Carol Albert/Paul Brown
2022-12-20 13:05:46,Cup Of Joe,Marcus Anderson/Matt Marshack
2022-12-20 13:09:28,Blue Sphere,Lars Taylor
2022-12-20 13:12:29,Do You Hear What I Hear,Kirk Whalum
2022-12-20 13:17:59,No Limits,Nick Colionne
2022-12-20 13:21:03,Puerto Banus,Paul Hardcastle
2022-12-20 13:25:18,Co-Motion,Lemek
