time_stamp,song,artist
2023-05-05 08:38:35,Woody's Gap,Roberto Vally
2023-05-05 08:41:01,Easy Does It,Oli Silk
2023-05-05 08:44:37,New York State of Mind,Diane Schuur
2023-05-05 08:49:26,Funky Picante,Marc Antoine
2023-05-05 08:54:14,How I Feel With You,Jeff Ryan
2023-05-05 08:57:48,Night Flight,Joe Sample
2023-05-05 09:03:47,Fly Like an Eagle,Ed Hamilton
2023-05-05 09:08:32,Everybody Get Up,Patrick Lamb
2023-05-05 09:12:10,Midnight in Madrid,Joe McBride
2023-05-05 09:16:55, , 
2023-05-05 09:17:30,In My Heart,Anita Baker
2023-05-05 09:21:42,Coastline Crusader,Paul Hardcastle
2023-05-05 09:25:16,Flirtation,Herb Alpert
2023-05-05 09:30:04,"Right On, Right On",Adam Hawley/Julian Vaughn
2023-05-05 09:33:40,An Actor's Life,Dave Grusin
2023-05-05 09:38:25,Open Road,Paula Atherton
2023-05-05 09:43:10,I'm Ready,Camiel
2023-05-05 09:45:33,Stride,Jeff Kashiwa
2023-05-05 09:50:19,Summer Smile,Ronny Jordan
2023-05-05 09:56:23,Deja Vu,Walter Beasley
2023-05-05 09:59:57,Like Paradise,Chris Standring
2023-05-05 10:04:46,Hi-Heel Sneakers,Urban Knights
2023-05-05 10:08:23,"Journey ""To The Doc""",Phillip Doc Martin
2023-05-05 10:13:11,A Very Good Thing,Rick Braun
2023-05-05 10:16:49,Love And Nothing Less,Keiko Matsui/Lalah Hathaway
2023-05-05 10:21:36,Somethin' About You,Thom Rotella
2023-05-05 10:26:26,"Stop, Look, Listen (To Your Heart)",Boney James
2023-05-05 10:30:01,100% Cotton,Nathan Mitchell
2023-05-05 10:35:25,Put It Where You Want It,Paul Brown
2023-05-05 10:39:02,Groove Together,Jayson Tipp
2023-05-05 10:43:50,Everything’s Changing (remix),Jo Harrop
2023-05-05 10:47:25,Easy Going,Kim Waters
2023-05-05 10:52:13,Everyone But You,Cindy Bradley
2023-05-05 10:57:02,Lovers Melody,Ryan La Valette/Nicholas Cole
2023-05-05 11:02:25,Glass Dolphins,John Klemmer
2023-05-05 11:06:35,Zen Warrior,Paul Hardcastle
2023-05-05 11:10:12,By My Side,Gerald Albright
2023-05-05 11:15:36,(Angel on Sunset) Bumpin' on Sunset,Larry Coryell
2023-05-05 11:20:23,Quiet Storm,"Chris ""Big Dog"" Davis"
2023-05-05 11:25:10,Let's Move,Eric Valentine/Richard Elliot
2023-05-05 11:29:23,African Moon,Jonathan Butler
2023-05-05 11:33:00,Taboo,Damien Escobar
2023-05-05 11:36:35,Smokin' Section,Tom Scott & The L.A. Express
2023-05-05 11:42:36,Generation U,Sean U
2023-05-05 11:45:35,Pearls,Kandace Springs
2023-05-05 11:50:21,Boom Town,Richard Elliot
2023-05-05 11:53:58,Last Look,Torcuato Mariano
2023-05-05 12:00:32,I've Got This,Claudia Hayden/J. White
2023-05-05 12:04:44,American Garden,Phillip Martin
2023-05-05 12:08:56,After the Rain,Larry Carlton/Lee Ritenour
2023-05-05 12:12:32,Take It Uptown,Gino Rosaria
2023-05-05 12:16:45,Ritmo De Otono,Bernie Williams
2023-05-05 12:22:45,Hypnotic Love,Maysa
2023-05-05 12:27:32,Hookline,Matt Lee
2023-05-05 12:31:07,West Side Worry,Zachary Breaux
2023-05-05 12:37:06,Nautilus,Bob James
2023-05-05 12:42:28,Ruby Baby,BWB
2023-05-05 12:49:02,NuJazzy,Bobby Lyle
2023-05-05 12:53:48,Waay Up,Brandon Marceal
2023-05-05 12:56:47,Drive Time,Four80East
2023-05-05 13:01:36,KJ's Vybe,Kevin Jackson
2023-05-05 13:05:48,Groove With Me,Willie Bradley
2023-05-05 13:10:00,Groove Central,Lemek
2023-05-05 13:16:00,Ridin' The Wave,Vincent Ingala
2023-05-05 13:19:01,Easy,Tim Bowman
2023-05-05 13:23:48,Ashland,Randal Clark
2023-05-05 13:26:47,Smooth Soul,Erin Stevenson
2023-05-05 13:30:23,Missing You,Jackiem Joyner
2023-05-05 13:34:34,For The Cool In You,Cindy Bradley
2023-05-05 13:39:58,In This Love,Gregory Goodloe
2023-05-05 13:43:34,Detour,Boney James
2023-05-05 13:47:48,Right In There,Kombo
2023-05-05 13:51:23,Piermont Nights,Jazz Holdouts
2023-05-05 13:55:35,Coming Home,Jonathan Butler
2023-05-05 14:00:22,Steps On The Globe,Keiko Matsui
2023-05-05 14:05:12,Roadtrip,Michael Lington
2023-05-05 14:08:49,Just Like That,Nick Colionne
2023-05-05 14:13:38,B's Mood,Bobby Lyle
2023-05-05 14:18:27,Spoon,Grace Kelly
2023-05-05 14:23:16,Night In the Algarve,Nils
2023-05-05 14:26:52,Forever Dreamin',Paul Hardcastle
2023-05-05 14:31:38,It's You,Lin Rountree
2023-05-05 14:36:26,Still in Love,Warren Hill
2023-05-05 14:41:12,Dreamland,Blake Aaron
2023-05-05 14:44:49,Tell Me All About It,Natalie Cole
2023-05-05 14:49:39,Mahogany,Marqueal Jordan
2023-05-05 14:53:15,Risin' Up,Adam Hawley
2023-05-05 14:58:03,Coastin',Julian Vaughn
2023-05-05 15:02:51,Obsession Confession,Slash
2023-05-05 15:08:50,Forecast,Jazz Funk Soul
2023-05-05 15:13:38,Sir W,Rick Braun
2023-05-05 15:17:13,Black Crow,Diana Krall
2023-05-05 15:21:24,Future Smooth,Ryan Montano
2023-05-05 15:26:12,Contact,Boney James
2023-05-05 15:29:50,Magic Mirror,Carol Albert
2023-05-05 15:34:37,The Last Love Letter,Michael Ross
2023-05-05 15:39:25,Cruisin' On Sunset,Mike Phillips
2023-05-05 15:42:58,I Can't Help It,Esperanza Spalding
2023-05-05 15:46:33,Last Day of Summer,Eric Marienthal
2023-05-05 15:51:21,El Alba,Camiel
2023-05-05 15:57:17,How I Feel With You,Jeff Ryan
2023-05-05 16:00:53,L.A. Underground,Larry Carlton & Lee Ritenour
2023-05-05 16:06:51,Electric Relaxation,Jeff Lorber
2023-05-05 16:11:38,Moon Goddess,Michael Lington
2023-05-05 16:15:14,Dear Friend,Patrick Bradley
2023-05-05 16:20:00,Make Sure Ur Sure,Maysa
2023-05-05 16:23:35,Midnight Dance,Jay Rowe
2023-05-05 16:28:25,A River's Road,Andy Snitzer
2023-05-05 16:34:26,I Keep Forgettin',Allen Hinds
2023-05-05 16:38:01,Rain on Fire,Yulara
2023-05-05 16:42:48,Let's Have a Good Time,The Braxton Brothers
2023-05-05 16:47:35,Buy Me Love,Chance Howard/Candy Dulfer
2023-05-05 16:51:11,Backstage Pass,Paul Brown
2023-05-05 16:54:46,Deep Into My Soul,Gerald Albright
2023-05-05 16:58:21,"Right On, Right On",Adam Hawley/Julian Vaughn
2023-05-05 17:01:54,Castille,Ray Obiedo
2023-05-05 17:07:52,Silhouette,Chuck Loeb
2023-05-05 17:11:27,100% Cotton,Nathan Mitchell
2023-05-05 17:16:14,Buckle Up,Nick Colionne/Najee
2023-05-05 17:21:02,August Day Song,Bebel Gilberto
2023-05-05 17:24:36,Motor City Moves,J White/Lin Rountree
2023-05-05 17:29:24,Just Cruzin',Stanley Clarke
2023-05-05 17:33:35,Lovers Melody,Ryan La Valette/Nicholas Cole
2023-05-05 17:39:38,Don't Blink,The JT Project
2023-05-05 17:43:14,After Party,David P Stevens
2023-05-05 17:46:51,Cajun Moon,Randy Crawford
2023-05-05 17:51:01,Cry,Boney James
2023-05-05 17:55:13,Concache,Marc Antoine
2023-05-05 18:00:36,On A Roll,Quintin Gerard W.
2023-05-05 18:04:11,Black Diamond,The Rippingtons
