time_stamp,song,artist
2022-12-20 21:21:00,'Twas The Night Before Christmas,Dave Koz and Friends
2022-12-20 21:22:14,Missing You,Randal Clark
2022-12-20 21:26:01,Uncle Nick,Nick Colionne
2022-12-20 21:30:25,"Forever, Forever",Keiko Matsui
2022-12-20 21:34:44,Coupe de Ville,Bona Fide
2022-12-20 21:37:53,My Favorite Things,Peter Cincotti
2022-12-20 21:41:37,On Another Note,Pieces Of A Dream
2022-12-20 21:46:00,Crush,Blake Aaron
2022-12-20 21:49:52,Sooner Or Later,The Sax Pack
2022-12-20 21:53:01,The Most Wonderful Time Of The Year,Brian Bromberg
2022-12-20 21:59:48,A Coastal Breeze,A. Ray Fuller
2022-12-20 22:02:53,Tropical Rain,Jessy J
2022-12-20 22:06:35,Sandcastles,Brian Culbertson
2022-12-20 22:11:34,You're the Only Woman,David Pack
2022-12-20 22:15:51,O Holy Night,Warren Hill
2022-12-20 22:19:32,After We Play,Johnny Britt/Peter White
2022-12-20 22:24:29,Still Thinking of You,Michael Lington
2022-12-20 22:28:08,African Breeze,Jonathan Butler
2022-12-20 22:33:03,Kinetic,Groove Frequencies
2022-12-20 22:36:08,I Really Don't Want Much For Christmas,Chris Botti/Eric Benet
2022-12-20 22:40:26,Foot Soldiers,Eric Essix
2022-12-20 22:45:24,Coastline Crusader,Paul Hardcastle
2022-12-20 22:48:29,Brother Earl,Paul Brown/Marc Antoine
2022-12-20 22:50:56,Have Yourself a Merry Little Christmas,Tom Braxton
2022-12-20 22:57:06,Make A Wish,U-Nam
2022-12-20 23:00:13,Closer Still,Brian Simpson
2022-12-20 23:06:20,Superstar,Riley Richard
2022-12-20 23:11:17,Take Me Away,Oli Silk
2022-12-20 23:14:24,Let's Move,Eric Valentine/Richard Elliot
2022-12-20 23:19:21,Buy Me Love,Chance Howard/Candy Dulfer
2022-12-20 23:24:15,Winter Wonderland,Spyro Gyra
2022-12-20 23:27:21,4AM,Nite Flyte
2022-12-20 23:31:03,Forever (Without a Doubt),Deepak Thettu/Judah Sealy
2022-12-20 23:35:20,Sir W,Rick Braun
2022-12-20 23:38:57,Now or Never,Phylicia Rae/Marcus Anderson
2022-12-20 23:42:02,The Road Less Traveled,Joe Sample
2022-12-20 23:48:13,Breezin',George Benson/Al Jarreau
2022-12-20 23:53:08,The First Noel,Jeff Lorber
2022-12-20 23:58:05,Leather Jacket,John E. Lawrence
2022-12-21 00:02:57,B.F.A.M.,Paul Jackson Jr./Michael Lington
2022-12-21 00:06:02,Christmas Time Is Here,"Grover Washington, Jr."
2022-12-21 00:11:56,Step To This,Nick Colionne
2022-12-21 00:15:02,As,Wendy Moten
2022-12-21 00:18:07,Ocean Blue,Earl Klugh
2022-12-21 00:24:15,Dance Beat,Jessy J
2022-12-21 00:27:19,Deck the Halls,Jonathan Fritzen
2022-12-21 00:31:03,Juliet,Ken Navarro
2022-12-21 00:36:02,Joy Dance,Kim Waters
2022-12-21 00:40:23,On the Beach,Jeff Golub
2022-12-21 00:44:07,God Rest Ye Merry Gentlemen,Take 6/Yellowjackets
2022-12-21 00:48:28,Hustle,Jazz Funk Soul
2022-12-21 00:52:11,Moon Over Gotham,Keiko Matsui
2022-12-21 00:56:35,Convergency,Candy Dulfer
2022-12-21 00:59:38,Your Sweet Smile,Gregg Karukas
2022-12-21 01:03:59,Santa Claus Is Coming To Town,Kenny G
2022-12-21 01:06:28,Co-Motion,Lemek
2022-12-21 01:10:50,Take Me There,Bob James
2022-12-21 01:17:01,Let It Free,Dave Koz
2022-12-21 01:21:20,Quiet Storm,"Chris ""Big Dog"" Davis"
2022-12-21 01:25:03,The Little Drummer Boy,Peter White/Rick Braun/Mindi Abair
2022-12-21 01:29:23,Turning Point,Hiroshima
2022-12-21 01:34:56,Workin' It Out,Jason Jackson
2022-12-21 01:39:18,I'm OK,Lindsey Webster
2022-12-21 01:44:55,O Christmas Tree,Warren Wolf
2022-12-21 01:48:02,After Party,David P Stevens
2022-12-21 01:53:03,Inner City Blues (Makes Me Wanna Holler),Richard Elliot
2022-12-21 01:57:27,Perfect Timing,Lisa Addeo
2022-12-21 02:02:26,Slammin,Nick Colionne
2022-12-21 02:05:34,Let It Snow,Boney James
2022-12-21 02:10:32,Pastel Leather,Althea Rene
2022-12-21 02:13:39,Pass It On,Jeff Golub
2022-12-21 02:19:49,Hippies on a Corner,Joe Sample
2022-12-21 02:24:47,Rollin' Out,Eric Darius
2022-12-21 02:27:55,Said the Snowflake,Michael Franks
2022-12-21 02:32:14,Tokyo Groove,Adam Hawley
2022-12-21 02:38:26,Nothing Ever Hurt Like You,Mindi Abair
2022-12-21 02:40:56,Piano in the Dark,Alex Bugnon
2022-12-21 02:47:12,The Christmas Song,Chris Standring
2022-12-21 02:50:19,Business As Usual,Sean U
2022-12-21 02:54:04,Life In The Fast Lane,Dave Koz
2022-12-21 02:58:26,Off The Top,Kim Scott
2022-12-21 03:02:10,First Kiss,Richard Smith
2022-12-21 03:06:36,This Christmas,Patti Austin
2022-12-21 03:10:18,Montreux,Walter Beasley
2022-12-21 03:15:14,I Am,Kayla Waters
2022-12-21 03:18:21,Groovin',BWB
2022-12-21 03:24:33,On Your Feet,Julian Vaughn
2022-12-21 03:27:39,Road Trip,Al DeGregoris
2022-12-21 03:31:18,Angels We Have Heard on High,Vanessa Williams
2022-12-21 03:31:55,Road Trip,Al DeGregoris
2022-12-21 03:32:31,Angels We Have Heard on High,Vanessa Williams
2022-12-21 03:36:43,Neo Shaman,Kennard Ramsey
2022-12-21 03:41:36,Force,Judah Sealy
2022-12-21 03:45:16,Cafe Mocha,Jesse Cook
2022-12-21 03:48:19,Bring It Back,Boney James
2022-12-21 03:51:20,It's Christmas,Michael J. Thomas/Maysa
2022-12-21 03:51:56,Bring It Back,Boney James
2022-12-21 03:52:32,It's Christmas,Michael J. Thomas/Maysa
2022-12-21 03:56:12,Urban Cowboy,Acoustic Alchemy
2022-12-21 04:00:25,Eddie's Groove,Gerald Albright
2022-12-21 04:05:15,Bright,Peter White
2022-12-21 04:08:52,Sleigh Ride,Kenny G
2022-12-21 04:11:53,Let It Breathe,Michael Broening
2022-12-21 04:16:43,I Wish,Najee
2022-12-21 04:20:21,Believe,Erin Stevenson/Paul Brown
2022-12-21 04:23:28,Deja's Theme,Stanley Clarke
2022-12-21 04:28:19,Passport to Paradise,Elan Trotman
2022-12-21 04:32:34,Do You Hear What I Hear?,David Benoit
2022-12-21 04:36:48,Point Of Departure,Nelson Rangell
2022-12-21 04:41:38,Let's Get Down Tonight,Adam Hawley
2022-12-21 04:44:04,I'll Be Around,Rippingtons/Jeffrey Osborne
2022-12-21 04:48:19,It Came Upon The Midnight Clear/Happy Holiday,Dave Koz
2022-12-21 04:53:09,Say It Aint Good To Ya,Byron Miller
2022-12-21 04:56:46,Ricochet,Richard Elliot
2022-12-21 05:00:24,Paradigm Shift,Carol Albert/Paul Brown
2022-12-21 05:04:40,Realization,Phillip Martin
2022-12-21 05:07:44,Jingle Bells,Diana Krall
2022-12-21 05:12:34,Step To This,Nick Colionne
2022-12-21 05:14:22,Parkside Shuffle,Down To The Bone
2022-12-21 05:14:59,Step To This,Nick Colionne
2022-12-21 05:15:36,Parkside Shuffle,Down To The Bone
2022-12-21 05:21:43,Hero,Brian Bromberg
2022-12-21 05:26:35,Ride With Me,JJ Sansaverino
2022-12-21 05:30:50,Silent Night,Plunky/Mike Phillips/Spur of the Moment
2022-12-21 05:34:26,Lay Lady Lay,Hudson
2022-12-21 05:38:40,Force,Judah Sealy
2022-12-21 05:42:53,Baby Steps,Peter White
2022-12-21 05:47:41,The Christmas Song,Daryl Beebe
2022-12-21 05:51:54,Busta Move,Julian Vaughn
2022-12-21 05:56:09,Always Remember,Brian Culbertson
2022-12-21 05:59:50,Co-Motion,Lemek
2022-12-21 06:04:38,Eye 2 Eye,Najee
2022-12-21 06:09:25,Carol of the Bells,David Benoit
2022-12-21 06:13:41,Wait and See,Karla Leal
2022-12-21 06:15:31,Precious Moments,Walter Beasley
2022-12-21 06:19:43,Coastin',Boney James/Lalah Hathaway
2022-12-21 06:24:32,Laissez Faire,Jeff Lorber
2022-12-21 06:28:11,Stargazer,Randal Clark
2022-12-21 06:31:50,Christmas Time Is Here,Jaared
2022-12-21 06:35:31,L.A.'D,Tony Guerrero
2022-12-21 06:36:07,Christmas Time Is Here,Jaared
2022-12-21 06:36:43,L.A.'D,Tony Guerrero
2022-12-21 06:40:22,Stone Cold,Pamela Williams
2022-12-21 06:44:35,"Open Your Eyes, You Can Fly",Lizz Wright
2022-12-21 06:49:26,The Christmas Waltz,Dave Koz
2022-12-21 06:53:41,A Coastal Breeze,A. Ray Fuller
2022-12-21 06:56:45,Born 2 Groove,Euge Groove
2022-12-21 07:01:01,Quantum Soul,Keith Andrew
2022-12-21 07:04:36,Allure,Paul Taylor
2022-12-21 07:09:29,Grown Up Christmas List,Michael Bublé
2022-12-21 07:13:43,Good On You,Will Donato
