time_stamp,song,artist
2023-05-11 13:32:36,Cruise Control,Turning Point
2023-05-11 13:36:11,Now Love Has No End,Michael Franks/Valerie Simpson
2023-05-11 13:42:05,You're Beautiful,Kenny G
2023-05-11 13:46:47,The Last Child,Joe Sample
2023-05-11 13:52:41,"Right On, Right On",Adam Hawley/Julian Vaughn
2023-05-11 13:56:50,G.B.U.,Tom Scott
2023-05-11 14:00:57,To Manhattan With Love,Rick Braun
2023-05-11 14:06:16,Coming Home,Jonathan Butler
2023-05-11 14:10:59,Hold On I'm Comin',Kirk Whalum
2023-05-11 14:15:41,A Felicidade,Les Sabler
2023-05-11 14:19:13,Woody's Gap,Roberto Vally
2023-05-11 14:23:22,Velvet Nights,Nestor Torres
2023-05-11 14:27:29,Kissing a Star,Deepak Thettu
2023-05-11 14:32:13,No Truer Words,Mark Portmann
2023-05-11 14:37:30,Spin,Boney James
2023-05-11 14:42:14,I Know You Know,Esperanza Spalding
2023-05-11 14:46:21,Wrapped Up In Your Smile,Dave Koz
2023-05-11 14:51:05,Piano in the Dark,Alex Bugnon
2023-05-11 14:57:01,It's You,Lin Rountree
2023-05-11 15:00:33,April,Mindi Abair
2023-05-11 15:05:54,First Wish,Chris Botti
2023-05-11 15:10:36,100% Cotton,Nathan Mitchell
2023-05-11 15:14:45,eBop,Chuck Loeb
2023-05-11 15:20:41,Ride On A Rainbow,Raul Midón
2023-05-11 15:24:50,That Beat,The 3 Keys
2023-05-11 15:29:00,So Cool,Doc Powell
2023-05-11 15:33:45,Deja Vu,Walter Beasley
2023-05-11 15:37:19,San Diego,Peter White
2023-05-11 15:41:28,Breakin’ Away,Carl Cox
2023-05-11 15:46:12,Smooth Soul,Erin Stevenson
2023-05-11 15:50:22,Summer Nights,Urban Nights
2023-05-11 15:55:41,Throwin' It Down,Wayman Tisdale
2023-05-11 15:59:48,Groove Central,Lemek
2023-05-11 16:05:07,You Made My Day,Marcus Anderson
2023-05-11 16:09:17,Nightcrawler,Paul Hardcastle
2023-05-11 16:13:27,"Journey ""To The Doc""",Phillip Doc Martin
2023-05-11 16:17:34,Always There,Avenue Blue/Jeff Golub
