time_stamp,song,artist
2022-12-16 23:43:08,It's Probably Me,Vanessa Rubin
2022-12-16 23:46:08,The Most Wonderful Time Of The Year,Brian Bromberg
2022-12-16 23:52:12,Workin',Jazz Holdouts
2022-12-16 23:55:15,Nine 2 Five,Nils
2022-12-17 00:00:09,Remember The Night,Jessy J
2022-12-17 00:03:10,Serene,Paul Hardcastle
2022-12-17 00:06:47,Silver Bells,Maysa/Gerald Albright
2022-12-17 00:09:48,Step To This,Nick Colionne
2022-12-17 00:15:15,Water To Drink (Agua De Beber),David Benoit
2022-12-17 00:18:16,Pipo's Song,SPYRO GYRA
2022-12-17 00:23:57,Say It Aint Good To Ya,Byron Miller
2022-12-17 00:27:51,I'll Be Home for Christmas,Dianne Reeves
2022-12-17 00:32:40,Happy Hour,Chuck Loeb/Mitchel Forman
2022-12-17 00:39:16,Convergency,Candy Dulfer
2022-12-17 00:42:15,Dream Come True,Fourplay
2022-12-17 00:47:04,Silent Night,Phillip Doc Martin
2022-12-17 00:50:41,Love Planet,Mark Etheredge
2022-12-17 00:56:06,On The Rebound,Darren Rahn
2022-12-17 00:59:44,Easy Livin',Norman Brown
2022-12-17 01:03:19,Just Funkin' Around,Pieces Of A Dream
2022-12-17 01:07:29,Jingle Jangle Blues,Peter White/Rick Braun/Mindi Abair
2022-12-17 01:11:40,Eddie's Groove,Gerald Albright
2022-12-17 01:15:15,"Baby, Come To Me",Eliane Elias
2022-12-17 01:21:15,New Shoes,Mindi Abair
2022-12-17 01:25:27,Simplicity,Rick Braun
2022-12-17 01:30:48,Kiss The Sky,Ron Bosse
2022-12-17 01:33:12,Jingle Bells,Boney James
2022-12-17 01:35:35,Taboo,Skinny Hightower
2022-12-17 01:40:22,And Now This,Paul Taylor
2022-12-17 01:42:46,Buy Me Love,Chance Howard/Candy Dulfer
2022-12-17 01:47:32,The Christmas Song,Chris Standring
2022-12-17 01:52:21,Road Trip,Al DeGregoris
2022-12-17 01:56:34,Lakeshore Drive,Art Porter
2022-12-17 02:00:11,Tickle Time,Herb Alpert
2022-12-17 02:02:34,Illuminate,Steve Oliver
2022-12-17 02:06:10,White Christmas,Will Downing
2022-12-17 02:11:00,Let's Get Down Tonight,Adam Hawley
2022-12-17 02:16:25,A Love Before,Lindsey Webster
2022-12-17 02:20:37,M.W.A. (Musicians With Attitude),David Benoit
2022-12-17 02:25:25,A Coastal Breeze,A. Ray Fuller
2022-12-17 02:29:00,Last Christmas,Michael Lington
2022-12-17 02:32:36,Paisa,Paolo
2022-12-17 02:35:39,Co-Motion,Lemek
2022-12-17 02:40:29,Keep Looking,Sade
2022-12-17 02:46:31,What Child Is This,Ronny Smith
2022-12-17 02:50:08,Panama City Groove,Matt Lee
2022-12-17 02:54:22,The Rise and Fall (Of Loving You),Brian Culbertson
2022-12-17 02:58:01,Montreux,Walter Beasley
2022-12-17 03:01:38,Ba Ba Brazil,Four80East
2022-12-17 03:05:16,Silent Night,Al Jarreau
2022-12-17 03:08:52,Off The Top,Kim Scott
2022-12-17 03:13:37,Glow,Kirk Whalum
2022-12-17 03:19:38,Unity,Marc Antoine
2022-12-17 03:25:39,Smile,Mindi Abair
2022-12-17 03:29:14,Flow,Ace Livingston
2022-12-17 03:32:50,Sleigh Ride,Boney James
2022-12-17 03:37:39,I'll Be Around,Larry Carlton
2022-12-17 03:41:15,Breakthrough,Cal Harris Jr.
2022-12-17 03:44:49,Believe,Erin Stevenson/Paul Brown
2022-12-17 03:48:25,God Rest Ye Merry Gentlemen/My Favorite Things,Dave Koz
2022-12-17 03:53:13,New Heights,Steve Oliver
2022-12-17 03:58:01,Camaleao,"Grover Washington, Jr."
2022-12-17 04:01:38,NuJazzy,Bobby Lyle
2022-12-17 04:06:26,That's the Way Love Goes,Norman Brown
2022-12-17 04:10:01,Island Christmas,Michael Franks
2022-12-17 04:16:05,Stickwidit,Carl Cox
2022-12-17 04:19:39,Bringing Down the House,Ken Navarro
2022-12-17 04:23:18,Don't Blink,The JT Project
2022-12-17 04:26:54,The 'In' Crowd,Ramsey Lewis Trio
2022-12-17 04:29:53,Hustle,Jazz Funk Soul
2022-12-17 04:34:07,The Little Drummer Boy,Rick Braun
2022-12-17 04:37:45,Trinity,Acoustic Alchemy
2022-12-17 04:43:10,Missing You,Randal Clark
2022-12-17 04:47:25,Principles of Lust,Enigma
2022-12-17 04:49:48,All I Want For Christmas,Herb Alpert
2022-12-17 04:53:24,A Song For Peace,Greg Manning/Kirk Whalum
2022-12-17 04:57:02,Emerge,Kim Scott
2022-12-17 05:01:49,Crush,Blake Aaron
2022-12-17 05:06:39,Soul Serenade,David Sanborn
2022-12-17 05:09:04,Christmas With You,Spencer Day
2022-12-17 05:12:41,Sandcastles,Brian Culbertson
2022-12-17 05:17:31,Soul Appeal,Michael Lington
2022-12-17 05:22:21,The Neck Factor,Marcus Johnson
2022-12-17 05:26:37,Honestly,Jeff Ryan
2022-12-17 05:30:13,Away In The Manger,Brian Simpson
2022-12-17 05:33:51,Back At It,Vandell Andrew
2022-12-17 05:38:42,After We Play,Johnny Britt/Peter White
2022-12-17 05:41:42,On the Fly,Richard Elliot
2022-12-17 05:46:33,Christmas Time is Here,Ashleigh Smith
2022-12-17 05:49:33,Ready Or Not,Paula Atherton
2022-12-17 05:53:47,Choices,Brian Bromberg
2022-12-17 05:59:51,Coastline Crusader,Paul Hardcastle
2022-12-17 06:03:29,Smoke 'N' Mirrors,Lee Ritenour
2022-12-17 06:07:44,Skating,David Benoit
2022-12-17 06:11:59,Superstar,Riley Richard
2022-12-17 06:16:48,I'm OK,Lindsey Webster
2022-12-17 06:22:50,After the Rain,Boney James
2022-12-17 06:28:13,Forever (Without a Doubt),Deepak Thettu/Judah Sealy
2022-12-17 06:31:51,Winter Wonderland,Jessy J
2022-12-17 06:38:51, , 
