time_stamp,song,artist
2022-12-18 11:46:40,Somehow Our Love Survives,Joe Sample
2022-12-18 11:49:06,Hark The Herald,Julian Vaughn
2022-12-18 11:53:18,Panama City Groove,Matt Lee
2022-12-18 11:57:30,Step To This,Nick Colionne
2022-12-18 12:01:40,Groove City,Lebron
2022-12-18 12:06:30,Happy Xmas (War Is Over)/Imagine,Dave Koz
2022-12-18 12:12:36,Nothing Ever Hurt Like You,Mindi Abair
2022-12-18 12:17:28,Cruisin' Your House at Midnite,Gregg Karukas
2022-12-18 12:21:11,Sleigh Ride,Bill Cantos
2022-12-18 12:26:37,Kiss The Sky,Ron Bosse
2022-12-18 12:29:42,Here We Go,Paul Taylor
2022-12-18 12:34:30,Now I'm On My Way,Acoustic Alchemy
2022-12-18 12:38:09,Let It Snow! Let It Snow! Let It Snow!,Dave Koz f/Kenny G
2022-12-18 12:43:35,Groove Assets,Richard Smith
2022-12-18 12:48:26,Still Euge,Euge Groove
2022-12-18 12:53:18,Buy Me Love,Chance Howard/Candy Dulfer
2022-12-18 12:59:21,After Dark,Richard Elliot
2022-12-18 13:02:27,Flow,Ace Livingston
2022-12-18 13:07:54,Are We There Yet,The Rippingtons
2022-12-18 13:10:55,All I Want For Christmas,Herb Alpert
2022-12-18 13:15:49,Let It Breathe,Michael Broening
2022-12-18 13:18:52,I Want You Girl,BWB
2022-12-18 13:23:41,Astrud,Basia
2022-12-18 13:27:58,Maybe Tonight,Nestor Torres
2022-12-18 13:32:49,Eight Candles (A Song For Hanukkah),Dave Koz
2022-12-18 13:38:15,Third Wish,Joyce Cooling
2022-12-18 13:41:52,The Drive,Geneve 5
2022-12-18 13:46:04,Love & Paragraphs,Chris Standring
2022-12-18 13:49:42,Moving On,Keiko Matsui
2022-12-18 13:55:44,The Little Drummer Boy,Peter White/Rick Braun/Mindi Abair
2022-12-18 13:59:57,Backbone,Boney James
2022-12-18 14:04:09,Blue Horizons,Roberto Vally
2022-12-18 14:10:11,Winter Wonderland (SXM LIVE),David Sanborn
2022-12-18 14:14:59,As,Wendy Moten
2022-12-18 14:18:02,35th St,Adam Hawley/Eric Darius
2022-12-18 14:21:38,Force,Judah Sealy
2022-12-18 14:25:16,This Christmas,Frank McComb
2022-12-18 14:29:29,Silhouette,Chuck Loeb
2022-12-18 14:34:18,Montreux,Walter Beasley
2022-12-18 14:38:31,Nautilus,Bob James
2022-12-18 14:43:17,Make A Wish,U-Nam
2022-12-18 14:47:29,Tales of a Gypsy,Marion Meadows
2022-12-18 14:52:14,Christmas Time is Here,Ashleigh Smith
2022-12-18 14:56:26,And Now This,Paul Taylor
2022-12-18 14:59:34,T-Jam,George Duke
2022-12-18 15:06:10,A Coastal Breeze,A. Ray Fuller
2022-12-18 15:09:09,O Holy Night,Carl Anderson
2022-12-18 15:13:57,Sao Paulo,Rick Braun
2022-12-18 15:17:35,Soulidified,Richard Smith
2022-12-18 15:21:49,Tickle Time,Herb Alpert
