time_stamp,song,artist
2023-05-01 23:40:35,Wade in the Water,Ramsey Lewis
2023-05-01 23:41:49,7 And 7,Paul Brown\Euge Groove
2023-05-01 23:45:22,Slam Dunk,Wayman Tisdale
2023-05-01 23:48:21,Spoon,Grace Kelly
2023-05-01 23:53:09,High Street,Bona Fide
2023-05-01 23:57:20,Just Like That,Nick Colionne
2023-05-02 00:01:30,Summer Nights,Urban Nights
2023-05-02 00:04:29, , 
2023-05-02 00:05:05,Summer Nights,Urban Nights
2023-05-02 00:06:16,No Two Ways About It,Jeff Golub
2023-05-02 00:10:25,Steps On The Globe,Keiko Matsui
2023-05-02 00:15:10,Morning Breeze,Jazz Holdouts
2023-05-02 00:18:43,Mario Takes A Walk,Jesse Cook
2023-05-02 00:22:53,Open Road,Paula Atherton
2023-05-02 00:26:28,Cruzin' South,Chuck Loeb
2023-05-02 00:31:12,Groove Together,Jayson Tipp
2023-05-02 00:35:22,Steppin' Up,Eric Darius
2023-05-02 00:40:41,NuJazzy,Bobby Lyle
2023-05-02 00:44:16,Coming Home,Jonathan Butler
2023-05-02 00:49:37,Your Smile,Brian Culbertson
2023-05-02 00:53:10,Coupe DeVille,Brian Bromberg
2023-05-02 00:56:45,Amazon Mist,Steve Reid
2023-05-02 01:02:41,Passion Play,Acoustic Alchemy
2023-05-02 01:07:28,Ashland,Randal Clark
2023-05-02 01:10:26,Got to Be Strong,Maysa
2023-05-02 01:14:02,The Funky Joint,Paul Brown
2023-05-02 01:18:48,Mahogany,Marqueal Jordan
2023-05-02 01:22:22,Europa,Denny Jiosa
2023-05-02 01:27:08,For The Cool In You,Cindy Bradley
2023-05-02 01:32:29,Midnight Drive,Michael Lington
2023-05-02 01:39:02,Night In the Algarve,Nils
2023-05-02 01:42:37,When I Give My Love to You,Michael Franks
2023-05-02 01:45:35,On A Roll,Quintin Gerard W.
2023-05-02 01:50:21,Lydian,Norman Brown
2023-05-02 01:57:30,Timeline,Cal Harris Jr.
2023-05-02 02:01:03,When a Man Loves a Woman,Richard Elliot
2023-05-02 02:04:35,Echoes Rising,Paul Hardcastle
2023-05-02 02:09:22,Coastin',Julian Vaughn
2023-05-02 02:12:57,Ordinary Day,Matt Bianco
2023-05-02 02:17:44,Naked City,Avenue Blue
2023-05-02 02:22:00,Reverse,Marcus Anderson
2023-05-02 02:24:58,Blue Horizons,Roberto Vally
2023-05-02 02:30:53,Deja Vu,Walter Beasley
2023-05-02 02:34:29,The Last Child,Joe Sample
2023-05-02 02:39:14,It's Personal,Jimmy B
2023-05-02 02:44:03,Moonlight,Sheléa/Kirk Whalum
2023-05-02 02:48:47,Piermont Nights,Jazz Holdouts
2023-05-02 02:52:20,Midnight,Brian Culbertson & Marcus Miller
2023-05-02 02:57:06,Just Like Ole Times,Everette Harp
2023-05-02 03:01:51,Groovin' J,Jacob Webb
2023-05-02 03:06:01,Angela (Theme From 'Taxi'),Bob James
2023-05-02 03:10:49,I Keep Forgettin',Allen Hinds
2023-05-02 03:15:01,Hurry Hurry,Pete Belasco
2023-05-02 03:19:46,Christiane,Rick Braun
2023-05-02 03:25:07,Bossman,Ron Bosse
2023-05-02 03:27:32,Massive Transit,Cindy Bradley
2023-05-02 03:32:56,Ridin' The Wave,Vincent Ingala
2023-05-02 03:37:06,Soul Kisses,Gregg Karukas
2023-05-02 03:40:41,New Bossa,Les Sabler
2023-05-02 03:44:52,Smooth Soul,Erin Stevenson
2023-05-02 03:49:04,No Stress,Paul Hardcastle
2023-05-02 03:52:40,Somethin' About You,Thom Rotella
2023-05-02 03:56:50,Snap,Nicholas Cole
2023-05-02 04:01:01,Master Blaster (Jammin'),Elan Trotman
2023-05-02 04:05:10,Twinkle,Greg Manning
2023-05-02 04:08:44,Easy,Tim Bowman
2023-05-02 04:12:53,Love Inside,Lindsey Webster
2023-05-02 04:16:26,Hypnotic,Boney James
2023-05-02 04:20:00,Full Court Press,Ragan Whiteside
2023-05-02 04:25:19,Back in Your Arms,Everette Harp
2023-05-02 04:28:17,"Right On, Right On",Adam Hawley/Julian Vaughn
2023-05-02 04:32:25,107 Degrees in the Shade,Alex Bugnon
2023-05-02 04:37:44,Montreux,Walter Beasley
2023-05-02 04:41:55,Street Life,Joe Sample
2023-05-02 04:46:03,Everybody Get Up,Patrick Lamb
2023-05-02 04:50:11,Oceans Apart,Acoustic Alchemy
2023-05-02 04:56:06,You Read My Mind,David Benoit
2023-05-02 05:00:15,Groove City,Lebron
2023-05-02 05:04:25,Play Lady Play,Fourplay
2023-05-02 05:08:33,"Journey ""To The Doc""",Phillip Doc Martin
2023-05-02 05:13:18,She's in Love,Peter White/Christopher Cross
2023-05-02 05:17:26,Together Tonight,Brian Culbertson
2023-05-02 05:22:45,Bounce,Najee
2023-05-02 05:27:29,Is There A Doctor In The House?,Chris Standring
2023-05-02 05:31:03,Right In There,Kombo
2023-05-02 05:35:46,Forget-Me-Not,Marc Antoine
2023-05-02 05:38:09,Motor City Moves,J White/Lin Rountree
2023-05-02 05:43:29,Fire of Love,Gabriela Anders
2023-05-02 05:47:42,It's You,Lin Rountree
2023-05-02 05:52:28,East Bay,Boney James
2023-05-02 05:57:14,Get Up Stand Up,Lee Ritenour & Dave Grusin
2023-05-02 06:00:47,In The Pocket,Michael Lington
2023-05-02 06:05:33,Velocity,John E. Lawrence
2023-05-02 06:09:44, , 
2023-05-02 06:10:19,Easy Street,Eric Marienthal
2023-05-02 06:13:53,I Dont Mind,Maysa
2023-05-02 06:19:15, , 
2023-05-02 06:19:50,After the Fall,Incognito
2023-05-02 06:22:47,Wrapped Up In Your Smile,Dave Koz
2023-05-02 06:27:32,Erotika,Freddie Ravel
2023-05-02 06:31:06,In This Love,Gregory Goodloe
2023-05-02 06:31:41, , 
2023-05-02 06:33:27,In This Love,Gregory Goodloe
2023-05-02 06:34:02, , 
2023-05-02 06:34:37,In This Love,Gregory Goodloe
2023-05-02 06:35:47, , 
2023-05-02 06:36:23,Steady As She Goes,Walter Beasley
2023-05-02 06:36:58, , 
2023-05-02 06:37:33,Steady As She Goes,Walter Beasley
2023-05-02 06:38:45,Breakthrough,Cal Harris Jr.
2023-05-02 06:41:40, , 
2023-05-02 06:42:51,Oye Como Va,Eliane Elias
2023-05-02 06:44:37, , 
2023-05-02 06:45:12,Oye Como Va,Eliane Elias
2023-05-02 06:45:48, , 
2023-05-02 06:46:24,Oye Como Va,Eliane Elias
2023-05-02 06:47:00,Forecast,Jazz Funk Soul
2023-05-02 06:51:08,Renaissance,Chieli Minucci
2023-05-02 06:58:15,The B Spot,Byron Miller/Walter Beasley
2023-05-02 07:00:37,Back to Lovin' Again,Freddie Hubbard
2023-05-02 07:05:58,Mister Magic,"Grover Washington, Jr./Bob James"
2023-05-02 07:14:51,The One,Greg Manning/Julian Vaughn
2023-05-02 07:16:02, , 
2023-05-02 07:16:38,The One,Greg Manning/Julian Vaughn
2023-05-02 07:20:49, , 
2023-05-02 07:21:24,"Oh, What A Beautiful Morning",Ray Charles
2023-05-02 07:22:00,Breakin’ Away,Carl Cox
2023-05-02 07:27:20,After Hours (The Antidote),Ronny Jordan
2023-05-02 07:33:16,100% Cotton,Nathan Mitchell
2023-05-02 07:37:24,XXL,Euge Groove
2023-05-02 07:41:01,After We Play,Johnny Britt/Peter White
2023-05-02 07:45:46,In & Out of Love,Patti Austin
2023-05-02 07:49:18,Moon Goddess,Michael Lington
2023-05-02 07:52:16, , 
2023-05-02 07:52:53,Mr. Chow,Acoustic Alchemy
2023-05-02 07:57:00,Hookin' Up,Brian Culbertson
2023-05-02 08:01:09,Green Light,Lebron
2023-05-02 08:04:44,Lovers Melody,Ryan La Valette/Nicholas Cole
2023-05-02 08:10:40,Put The Top Down,Dave Koz
2023-05-02 08:11:52, , 
2023-05-02 08:12:28,Put The Top Down,Dave Koz
2023-05-02 08:15:26,Imagination,Lizz Wright
2023-05-02 08:16:38, , 
2023-05-02 08:17:14,Imagination,Lizz Wright
2023-05-02 08:19:36,Future Smooth,Ryan Montano
2023-05-02 08:20:11, , 
2023-05-02 08:20:47,Future Smooth,Ryan Montano
2023-05-02 08:23:09,Esperanza,Bluezeum
2023-05-02 08:23:44, , 
2023-05-02 08:24:58,Esperanza,Bluezeum
2023-05-02 08:26:09, , 
2023-05-02 08:26:45,Hacienda,Jeff Lorber Fusion
2023-05-02 08:30:59,Open Road,Paula Atherton
2023-05-02 08:34:31,Right Around The Corner,Nick Colionne
2023-05-02 08:35:42, , 
2023-05-02 08:36:18,Right Around The Corner,Nick Colionne
2023-05-02 08:39:15,No One,George Duke
