time_stamp,song,artist
2023-05-12 11:17:01,Summer Lovers,The Rippingtons
2023-05-12 11:17:39,Undun,Kurt Elling
2023-05-12 11:22:56,Bossman,Ron Bosse
2023-05-12 11:25:53,Moomba,Richard Elliot
2023-05-12 11:30:35,"Right On, Right On",Adam Hawley/Julian Vaughn
2023-05-12 11:35:17,Will Power,Marcus Anderson
2023-05-12 11:38:51,Heavyweight,Slim Gambill
2023-05-12 11:41:48,Poetry Man,Queen Latifah
2023-05-12 11:47:42,News from the Blues,Bob Mamet
2023-05-12 11:50:39,R U Serious,"Chris ""Big Dog"" Davis/Carl Cox"
2023-05-12 11:55:12,Kickin' It Hard,Chieli Minucci
2023-05-12 11:58:45,Ocean Blue,Jesse Cook
2023-05-12 12:02:18,Cafe Rio,David Benoit
2023-05-12 12:06:26,How I Feel With You,Jeff Ryan
2023-05-12 12:11:13,West Coast Coolin',Norman Brown
2023-05-12 12:15:59,Buy Me Love,Chance Howard/Candy Dulfer
2023-05-12 12:20:09,Groove With Me,Willie Bradley
2023-05-12 12:24:20,Hot Sauce,Jessy J
2023-05-12 12:29:05,In This Love,Gregory Goodloe
2023-05-12 12:32:39,Valdez In The Country,Gerald Veasley
2023-05-12 12:37:58,Your Smile,Brian Culbertson
2023-05-12 12:42:06,Coast to Coast,Evan Marks
2023-05-12 12:46:50,Feel The Breeze,Shaun LaBelle/Patrice Rushen
2023-05-12 12:50:23,Promenade,Peter White
2023-05-12 12:55:42,Forecast,Jazz Funk Soul
2023-05-12 13:00:28,Milo,Acoustic Alchemy
2023-05-12 13:04:38,Steps On The Globe,Keiko Matsui
2023-05-12 13:09:22,Just Like That,Nick Colionne
2023-05-12 13:14:06,Deja Vu,Walter Beasley
2023-05-12 13:15:54,Groove Central,Lemek
2023-05-12 13:21:14,"Journey ""To The Doc""",Phillip Doc Martin
2023-05-12 13:25:23,The One,Greg Manning/Julian Vaughn
2023-05-12 13:30:42,Everybody Get Up,Patrick Lamb
2023-05-12 13:34:50,For The Cool In You,Cindy Bradley
2023-05-12 13:38:23,Smooth Soul,Erin Stevenson
2023-05-12 13:42:31,Ridin' The Wave,Vincent Ingala
2023-05-12 13:43:06,Smooth Soul,Erin Stevenson
2023-05-12 13:43:42,Ridin' The Wave,Vincent Ingala
