time_stamp,song,artist
2023-05-14 08:42:23,Born to Be Bad,Joe Sample
2023-05-14 08:45:53,Turkish,Rick Braun
2023-05-14 08:50:34,Night And Day,Diana Krall
2023-05-14 08:55:14,Piermont Nights,Jazz Holdouts
2023-05-14 08:59:55,I Don't Mind,Adam Hawley
2023-05-14 09:03:26,Emerald City,Brian Simpson
2023-05-14 09:06:57,Infinite Love,Darren Rahn
2023-05-14 09:11:37,Ready To Play,Nils
2023-05-14 09:15:09,Coastin',Julian Vaughn
2023-05-14 09:19:50,I Can't Help It,Esperanza Spalding
2023-05-14 09:23:20,Sooner Or Later,The Sax Pack
2023-05-14 09:26:50,Full Court Press,Ragan Whiteside
2023-05-14 09:31:30,Now What,Walter Beasley
2023-05-14 09:35:01,Taboo,Damien Escobar
2023-05-14 09:37:22,Carly's Song,David Sanborn
2023-05-14 09:43:15,New Bossa,Les Sabler
2023-05-14 09:47:21,Wade In The Water,Eva Cassidy
2023-05-14 09:50:51,How I Feel With You,Jeff Ryan
2023-05-14 09:54:56,The Journey,Nick Colionne
2023-05-14 09:59:36,Top Down,Greg Manning
2023-05-14 10:03:07,Friendship,Urban Knights
2023-05-14 10:06:38,Sunrise,Larry Carlton
2023-05-14 10:10:09,100% Cotton,Nathan Mitchell
2023-05-14 10:15:27,Waves,Badi Assad
2023-05-14 10:19:33,Shining Star,Rick Braun
2023-05-14 10:23:40,Cruisin' On Sunset,Mike Phillips
2023-05-14 10:26:00,Paris in May,Alex Bugnon
2023-05-14 10:31:54,Easy,Tim Bowman
2023-05-14 10:35:24,Old School Jam,Gerald Albright
2023-05-14 10:41:19,Take It Uptown,Gino Rosaria
2023-05-14 10:44:15,I Dont Mind,Maysa
2023-05-14 10:50:09,Steps On The Globe,Keiko Matsui
2023-05-14 10:54:14,Grand Central,Boney James
2023-05-14 10:58:56,Get Up Stand Up,Lee Ritenour & Dave Grusin
2023-05-14 11:03:05,How Long Has It Been?,Darryl Williams
2023-05-14 11:07:45,Ridin' The Wave,Vincent Ingala
2023-05-14 11:10:41,Ven a Gozar,Fishbelly Black
2023-05-14 11:17:43,"Journey ""To The Doc""",Phillip Doc Martin
2023-05-14 11:21:49,Soul Fruit,Brian Hughes
2023-05-14 11:27:07,Snap!,David Benoit
2023-05-14 11:31:13,Lean Into It,Andrew Neu
2023-05-14 11:35:57,High Flyin',Nick Colionne
2023-05-14 11:40:04,Spoon,Grace Kelly
2023-05-14 11:44:10,Same River,Pat Metheny
2023-05-14 11:52:25,The One,Greg Manning/Julian Vaughn
2023-05-14 11:55:57,Forever,Jeff Kashiwa
2023-05-14 12:01:49,Groove With Me,Willie Bradley
2023-05-14 12:05:57,Les Fleur,Ramsey Lewis
2023-05-14 12:12:24,7 And 7,Paul Brown\Euge Groove
2023-05-14 12:16:33,Southern Living,Alex Bugnon
2023-05-14 12:21:14,The List,Moonchild
2023-05-14 12:26:31,Bella Via,Marc Antoine
2023-05-14 12:31:13,Submarine,Bob James
2023-05-14 12:34:45,Girl Talk,Cindy Bradley
2023-05-14 12:39:27,Ebony And Ivory,Paul McCartney/Stevie Wonder
2023-05-14 12:44:44,Valley of the Harps,Paul Hardcastle
2023-05-14 12:48:53,Coming Home,Jonathan Butler
2023-05-14 12:53:34,Catching the Sun,Spyro Gyra
2023-05-14 12:59:26,Sweet Sundays,Tim Bowman
2023-05-14 13:03:43,Sandcastles,Brian Culbertson
2023-05-14 13:08:26,Show Me,Michael Lington
2023-05-14 13:11:24,Shop Around,Smokey Robinson & The Miracles
2023-05-14 13:14:21,Magic Mirror,Carol Albert
2023-05-14 13:19:40,Sweet Thing,Boney James
2023-05-14 13:23:12,Searching for June,David Benoit
2023-05-14 13:28:30,Over The Rainbow,Dave Koz
2023-05-14 13:33:12,South of Market,Joyce Cooling
2023-05-14 13:38:29,Montreux,Walter Beasley
2023-05-14 13:41:26,Time to Lounge,Alkemx
2023-05-14 13:45:32,One Hundred Ways,James Ingram
2023-05-14 13:51:27,Room To Breathe,Najee
2023-05-14 13:56:45,Whatz Up?,Richard Smith
2023-05-14 14:01:28,Greenstreet,Bob Mamet
2023-05-14 14:04:23,Fun In The Sun,Steve Oliver
2023-05-14 14:09:06,R U Serious,"Chris ""Big Dog"" Davis/Carl Cox"
