time_stamp,song,artist
2022-12-15 22:58:28,Off the Hook,Roger Smith
2022-12-15 22:59:04,Nine 2 Five,Nils
2022-12-15 23:02:39,I Meant What I Said,Gregg Karukas
2022-12-15 23:07:27,Let's Move,Eric Valentine/Richard Elliot
2022-12-15 23:13:29,Inner Changes,Paul Hardcastle
2022-12-15 23:17:03,This Christmas Song,Count Basie Orchestra/Ledisi
2022-12-15 23:20:37,La Smooth,Najee
2022-12-15 23:26:58,This Is The Good One,Kombo
2022-12-15 23:30:45,Between Love & Magic,Stanley Clarke
2022-12-15 23:34:31,Motor City Moves,J White/Lin Rountree
2022-12-15 23:39:34,Always Thinking of You,Nick Colionne
2022-12-15 23:43:24,Do You Really Love Me,Brian Culbertson
2022-12-15 23:47:18,I Can’t Wait For Christmas,Mindi Abair/Vincent Ingala/Lindsey Webster/Adam Hawley
2022-12-15 23:51:06,Groove Assets,Richard Smith
2022-12-15 23:54:54,New Day,Daryl Beebe
2022-12-15 23:58:40,High Def,Tim Bowman
2022-12-16 00:03:46,The B Spot,Byron Miller/Walter Beasley
2022-12-16 00:07:32,Winter Wonderland,Ella Fitzgerald
2022-12-16 00:10:07,Breakthrough,Cal Harris Jr.
2022-12-16 00:15:08,Wish I Was There,Vincent Ingala
2022-12-16 00:17:37,Want You,Soul Ballet
2022-12-16 00:22:56,Beneath the Light,Chuck Loeb
2022-12-16 00:29:23,Highway 10,Ryan La Valette
2022-12-16 00:33:10,God Rest Ye Merry Gentlemen,Richard Elliot
2022-12-16 00:36:56,Bloom,Cindy Bradley
2022-12-16 00:41:53,Wait and See,Karla Leal
2022-12-16 00:44:22,Ordinary Day,Matt Bianco
2022-12-16 00:49:21,O Christmas Tree,Julian Vaughn
2022-12-16 00:52:28,Workin',Jazz Holdouts
2022-12-16 00:56:50,I Can't Help Myself,Chris Standring
2022-12-16 01:00:37,NuJazzy,Bobby Lyle
2022-12-16 01:04:59,Summer Madness,Jerald Daemyon
2022-12-16 01:11:11,Have Yourself A Merry Little Christmas,Kenny Lattimore
2022-12-16 01:14:57,Let's Get Down Tonight,Adam Hawley
2022-12-16 01:18:41,Velvet Nights,Nestor Torres
2022-12-16 01:23:39,Ocean Blue,Jesse Cook
2022-12-16 01:26:09,Chopsticks,Jeff Lorber
2022-12-16 01:31:08,A Coastal Breeze,A. Ray Fuller
2022-12-16 01:33:38,Christmas Time Is Here,David Benoit/Michael Franks
2022-12-16 01:37:19,Yasmine,Shahin & Sepehr
2022-12-16 01:42:17,Stickwidit,Carl Cox
2022-12-16 01:46:01,At Last,Ronny Jordan
2022-12-16 01:51:00,The Christmas Song,Daryl Beebe
2022-12-16 01:53:30,New Heights,Steve Oliver
2022-12-16 01:58:33,I Like The Way You Talk (To Me),Lori Williams
2022-12-16 02:02:58,Missing You,Randal Clark
2022-12-16 02:06:42,Just Chillin',Norman Brown
2022-12-16 02:11:04,Winter Wonderland,Dave Koz
2022-12-16 02:16:04,Off The Top,Kim Scott
2022-12-16 02:19:48,Believe,Erin Stevenson/Paul Brown
2022-12-16 02:23:33,City Lights,Nelson Rangell
2022-12-16 02:28:35,Make A Wish,U-Nam
2022-12-16 02:33:36,Jingle Bell Rock,Kenny G
2022-12-16 02:37:21,Ellen,Brian Bromberg
2022-12-16 02:43:34,Crush,Blake Aaron
2022-12-16 02:47:57,Respect Yourself,Joe Sample & Randy Crawford
2022-12-16 02:54:12,Silent Night,Ben Tankard/Donald Hayes
2022-12-16 02:56:06,Busta Move,Julian Vaughn
2022-12-16 03:00:29,Ring of Gold,Chris Camozzi
2022-12-16 03:05:31,Sandcastles,Brian Culbertson
2022-12-16 03:09:13,Good To Go,Chuck Loeb
2022-12-16 03:13:01,O Little Town of Bethlehem,Gerald Albright
2022-12-16 03:16:48,After We Play,Johnny Britt/Peter White
2022-12-16 03:20:32,Sun's Out,Carol Albert
2022-12-16 03:24:18,Kimi Trick,Vincent Ingala
2022-12-16 03:29:18,Say It Aint Good To Ya,Byron Miller
2022-12-16 03:34:21,"Baby, It's Cold Outside",Jeffrey Osborne/Chaka Khan
2022-12-16 03:36:51,Leave It With Me,Alexander Zonjic
2022-12-16 03:42:28,Coastline Crusader,Paul Hardcastle
2022-12-16 03:46:14,The Village,Lee Ritenour
2022-12-16 03:50:35,All I Want for Christmas Is You,Eric Darius
2022-12-16 03:54:55,Forever (Without a Doubt),Deepak Thettu/Judah Sealy
2022-12-16 04:00:33,The Girl With Botticelli Eyes,Philippe Saisse
2022-12-16 04:05:33,Step To This,Nick Colionne
2022-12-16 04:08:39,Ready For Love,Walter Beasley
2022-12-16 04:14:17,Greensleeves,Gregg Karukas
2022-12-16 04:18:41,Convergency,Candy Dulfer
2022-12-16 04:22:27,Coastin',Boney James/Lalah Hathaway
2022-12-16 04:26:13,At Your Service,Oli Silk
2022-12-16 04:29:58,November's Child,Special EFX/Chieli Minucci
2022-12-16 04:34:19,Hark The Herald,Marcus Anderson/Oli Silk
2022-12-16 04:39:18,Watching the World,Steve Oliver
2022-12-16 04:43:41,Superstar,Riley Richard
2022-12-16 04:46:50,'Til You Come Back to Me,Rachelle Ferrell
2022-12-16 04:52:28,O Christmas Tree,Warren Wolf
2022-12-16 04:56:49,Chances,Jacob Webb
2022-12-16 05:01:13,Dawn,Nite Flyte
2022-12-16 05:03:43,Stone Cold,Pamela Williams
2022-12-16 05:08:40,The King Is Here,Norman Brown
2022-12-16 05:11:44,What Christmas Means,Kem
2022-12-16 05:17:59,Eddie's Groove,Gerald Albright
2022-12-16 05:21:45,Zen Warrior,Paul Hardcastle
2022-12-16 05:26:44,Two of a Kind,Chuck Loeb & Michael Lington
2022-12-16 05:31:08,Pioneer Town,David Benoit
2022-12-16 05:34:51,It's Beginning To Look A Lot Like Christmas,Dave Koz/Jonathan Butler
2022-12-16 05:39:11,Heart's Horizon,Byron Miller
2022-12-16 05:44:08,Quantum Soul,Keith Andrew
2022-12-16 05:48:30,Greenstreet,Bob Mamet
2022-12-16 05:50:59,It's Christmas,Jamie Cullum
2022-12-16 05:54:42,Dance Beat,Jessy J
2022-12-16 05:59:40,Sermonized,Joe Sample
2022-12-16 06:04:03,Good On You,Will Donato
2022-12-16 06:07:46,El Farol,Santana
2022-12-16 06:12:07,Carol of the Bells,Nancy Wilson/New York Voices
2022-12-16 06:18:58,Montreux,Walter Beasley
2022-12-16 06:22:04,Shining Star,Rick Braun
2022-12-16 06:26:24,Stranger on the Shore,Kenny G.
2022-12-16 06:29:31,Night Flight,Jeremy Sean Hector
2022-12-16 06:33:18,The First Noel,Kirk Whalum
2022-12-16 06:38:55,Sometimes,B-Tribe
2022-12-16 06:43:54,Let's Move,Eric Valentine/Richard Elliot
2022-12-16 06:47:39,If I Didn't Have Love,Chelsea Nichole
2022-12-16 06:50:48,Deck The Halls,Chris Standring
2022-12-16 06:55:12,Play,Michael Lington
2022-12-16 06:58:18,Make Room For Me,Jonathan Butler
2022-12-16 07:02:42,Let It Breathe,Michael Broening
2022-12-16 07:06:26,Move On Up,Richard Elliot
2022-12-16 07:11:27,Christmas Waltz,David Benoit Trio/Jane Monheit
2022-12-16 07:15:12,Co-Motion,Lemek
2022-12-16 07:18:56,Powerhouse,Boney James
2022-12-16 07:22:45,Last Song,Earl Klugh
2022-12-16 07:27:42,Stargazer,Randal Clark
2022-12-16 07:32:43,Christmas Fantasy,Anita Baker
2022-12-16 07:35:52,Back to Lovin' Again,Freddie Hubbard
2022-12-16 07:40:51,Now or Never,Phylicia Rae/Marcus Anderson
2022-12-16 07:44:00,Drive,Blake Aaron
2022-12-16 07:49:36,Jingle Bells,Jay Rowe
2022-12-16 07:53:57,Say What,Jackiem Joyner
2022-12-16 07:57:46,Groove Is in the Heart,Rick Braun
2022-12-16 08:02:09,Groove Assets,Richard Smith
2022-12-16 08:05:53,Gigabyte,Jeff Lorber
2022-12-16 08:10:15,Nothing Ever Hurt Like You,Mindi Abair
2022-12-16 08:13:22,Fly by Night,George Benson
2022-12-16 08:19:35,Silver Bells,Spencer Day
2022-12-16 08:24:05,Sweetest Taboo,Bobby Lyle
2022-12-16 08:27:51,Kinetic,Groove Frequencies
2022-12-16 08:32:54,Monday Afternoon,Philippe Saisse
2022-12-16 08:37:53,Motor City Moves,J White/Lin Rountree
2022-12-16 08:42:53,Fortune Teller,Fourplay
2022-12-16 08:45:21,Buy Me Love,Chance Howard/Candy Dulfer
2022-12-16 08:50:20,The Christmas Song,Chris Standring
2022-12-16 08:55:22,Drive,Cindy Bradley
2022-12-16 08:59:04,Workin' It Out,Jason Jackson
2022-12-16 09:02:50,God Rest Ye Merry Gentlemen,Marion Meadows
2022-12-16 09:09:03,Angel,Steve Laury
2022-12-16 09:12:50,Healing Song,Gregg Karukas
2022-12-16 09:19:01,Let's Get Down Tonight,Adam Hawley
2022-12-16 09:22:50,'Twas The Night Before Christmas,Dave Koz and Friends
2022-12-16 09:27:52,Going Home,Jonathan Butler
2022-12-16 09:31:38,Broken Promises,Quintin Gerard W.
2022-12-16 09:35:27,Desire,Paul Hardcastle
2022-12-16 09:39:51,Just Say Yes,Roberto Vally
2022-12-16 09:44:50,Let It Snow,Brian Bromberg/Maysa/Chris Walker
2022-12-16 09:49:12,After Hours,Brian Culbertson
2022-12-16 09:53:20,Stickwidit,Carl Cox
2022-12-16 09:57:07,High Street,Bona Fide
2022-12-16 10:01:41,A Coastal Breeze,A. Ray Fuller
2022-12-16 10:04:13,Christmas Time Is Here,"Grover Washington, Jr."
2022-12-16 10:09:50,Camelback,Joyce Cooling
2022-12-16 10:14:14,Hot Sauce,Jessy J
2022-12-16 10:17:57,Step To This,Nick Colionne
2022-12-16 10:22:25,My Little Drum,David Benoit Trio
2022-12-16 10:24:56,Nasty,Vincent Ingala
2022-12-16 10:28:42,Paradigm Shift,Carol Albert
2022-12-16 10:33:04,18th & Vine,Julian Vaughn
2022-12-16 10:38:04,Electric Shock,Matt Willard
2022-12-16 10:43:05,Snakebite,Jeff Lorber
2022-12-16 10:45:33,Caravan of Dreams,Peter White
2022-12-16 10:51:48,White Christmas,Norah Jones
2022-12-16 10:54:53,Tickle Time,Herb Alpert
2022-12-16 10:58:38,All In,Pieces Of A Dream
2022-12-16 11:03:01,Say It Aint Good To Ya,Byron Miller
2022-12-16 11:06:46,Silent Night,Michael Lington
2022-12-16 11:10:30,As,Wendy Moten
2022-12-16 11:13:38,(Angel on Sunset) Bumpin' on Sunset,Larry Coryell
2022-12-16 11:21:09,Pastel Leather,Althea Rene
2022-12-16 11:24:17,Jingle Blues,Rick Braun
2022-12-16 11:29:23,La Dolce Vita,Warren Hill
2022-12-16 11:32:37,NuJazzy,Bobby Lyle
2022-12-16 11:37:07,Najee's Theme,Najee
2022-12-16 11:41:27,Business As Usual,Sean U
2022-12-16 11:45:15,The Christmas Song,David Garfield/Brandon Fields
2022-12-16 11:48:24,Soul Inspiration,Anita Baker
2022-12-16 11:54:02,Crush,Blake Aaron
2022-12-16 11:59:08,Dianne,Walter Beasley
2022-12-16 12:03:31,Lost Words,Philippe Saisse/Marc Antoine
2022-12-16 12:08:00,Eddie's Groove,Gerald Albright
2022-12-16 12:11:45,Kid Gloves,Larry Carlton
2022-12-16 12:16:49,Have Yourself A Merry Little Christmas,Marlena Shaw
2022-12-16 12:21:49,Connecting Dreamtime,Yulara
2022-12-16 12:26:53,Ride With Me,JJ Sansaverino
2022-12-16 12:30:41,Carmel,Joe Sample
2022-12-16 12:36:54,Missing You,Randal Clark
2022-12-16 12:41:53,The Simple Life,Jeff Lorber
2022-12-16 12:46:54,All I Want For Christmas,Kirk Whalum
2022-12-16 12:50:40,Sausalito,George Duke
2022-12-16 12:54:24,A New Day,Michael Lington
2022-12-16 12:58:12,Sandcastles,Brian Culbertson
2022-12-16 13:03:12,Joy Dance,Kim Waters
2022-12-16 13:06:56,Perfect Timing,Lisa Addeo
