time_stamp,song,artist
2022-12-13 20:59:18,Just Say Yes,Roberto Vally
2022-12-13 21:04:19,Gloria Ann,Steve Laury
2022-12-13 21:08:06,Let It Snow! Let it Snow! Let It Snow!,Kenny G
2022-12-13 21:12:17,Sandcastles,Brian Culbertson
2022-12-13 21:17:05,Forever And A Day,Euge Groove
2022-12-13 21:20:05,Better Days Ahead,Pat Metheny Group
2022-12-13 21:24:54,Say It Aint Good To Ya,Byron Miller
2022-12-13 21:29:42,Feliz Navidad,Pete Escovedo
2022-12-13 21:33:54,Knock On Wood,Gerald Albright
2022-12-13 21:38:05,Crush,Blake Aaron
2022-12-13 21:42:56,Maputo,David Sanborn/Bob James
2022-12-13 21:48:57,The Holiday's On!,Joyce Cooling
2022-12-13 21:52:30,Honest,Ryan Montano
2022-12-13 21:56:07,Green Eyes,Marcos Ariel
2022-12-13 22:01:35,Donut Jam,Peet Project
2022-12-13 22:05:14,Go For It,Bernie Williams
2022-12-13 22:08:58,Sleigh Ride,Diana Krall
2022-12-13 22:13:11,Breakthrough,Cal Harris Jr.
2022-12-13 22:16:56,Guitarland,Russ Freeman
2022-12-13 22:21:50,Camouflage,Boney James
