time_stamp,song,artist
2022-12-14 08:22:12,Coming Home For Christmas,Paul Hardcastle
2022-12-14 08:22:50,It's All Good,Brian Simpson
2022-12-14 08:25:53,Take It Home,Andrew Neu
2022-12-14 08:30:09,Hollywood and Vine,Rick Braun
2022-12-14 08:34:24,Paradigm Shift,Carol Albert
2022-12-14 08:37:59,Into My Soul,Kirk Whalum
2022-12-14 08:42:59,All or Nothing at All,Diana Krall
2022-12-14 08:47:20,God Rest Ye Merry Gentlemen/My Favorite Things,Dave Koz
2022-12-14 08:51:06,Road Trip,Al DeGregoris
2022-12-14 08:55:26,Step To This,Nick Colionne
2022-12-14 08:59:11,Her Joyride,Soul Ballet
2022-12-14 09:04:09,Sleigh Ride,Kenny G
2022-12-14 09:06:37,As,Wendy Moten
2022-12-14 09:10:58,Where I Left Off,Oli Silk
2022-12-14 09:15:54,Nothing Ever Hurt Like You,Mindi Abair
2022-12-14 09:19:40,God Rest Ye Merry Gentlemen,Jonathan Butler
2022-12-14 09:21:32,Hudson River Nights,Kim Waters
2022-12-14 09:26:33,Co-Motion,Lemek
2022-12-14 09:31:12,Midnight,Brian Culbertson & Marcus Miller
2022-12-14 09:35:32,Ready Or Not,Paula Atherton
2022-12-14 09:39:18,Lately,Anita Baker
2022-12-14 09:43:01,White Christmas,David Garfield
2022-12-14 09:47:59,Let It Breathe,Michael Broening
2022-12-14 09:52:20,Ritmo De Otono,Bernie Williams
2022-12-14 09:56:45,Say It Aint Good To Ya,Byron Miller
2022-12-14 10:01:51,Have Yourself a Merry Little Christmas,Warren Hill
2022-12-14 10:06:58,In the Middle of the Night,Dave Grusin
2022-12-14 10:12:38,Just Like Ole Times,Everette Harp
2022-12-14 10:19:04,Off The Top,Kim Scott
2022-12-14 10:22:22,It's The Most Wonderful Time Of The Year,Toni Braxton
2022-12-14 10:26:44,Feel It Still,David Benoit
2022-12-14 10:30:31,Eddie's Groove,Gerald Albright
2022-12-14 10:34:15,Slip 'n' Slide,Gerald Veasley
2022-12-14 10:39:49,Hustle,Jazz Funk Soul
2022-12-14 10:42:24,Simple Life,Maysa
2022-12-14 10:47:32,What Child Is This,Jessy J
2022-12-14 10:49:24,Joy Dance,Kim Waters
2022-12-14 10:54:33,Soul Kisses,Gregg Karukas
2022-12-14 10:59:38,A Coastal Breeze,A. Ray Fuller
2022-12-14 11:02:18,I Really Don't Want Much For Christmas,Chris Botti/Eric Benet
2022-12-14 11:07:21,Mildred's Attraction,Joyce Cooling
2022-12-14 11:13:02,Pick Up The Pieces,Kenny G/David Sanborn
2022-12-14 11:17:31,Step To This,Nick Colionne
2022-12-14 11:21:58,Let It Snow,Brandon Fields
2022-12-14 11:23:15,Play It Forward,James Lloyd
2022-12-14 11:23:53,Let It Snow,Brandon Fields
2022-12-14 11:24:30,Play It Forward,James Lloyd
2022-12-14 11:28:15,Montreux,Walter Beasley
2022-12-14 11:28:52,Play It Forward,James Lloyd
2022-12-14 11:29:28,Montreux,Walter Beasley
