time_stamp,song,artist
2022-12-13 16:49:16,Silent Night,Phillip Doc Martin
2022-12-13 16:52:28,Broken Promises,Quintin Gerard W.
2022-12-13 16:56:54,You're Mine,Julian Vaughn
2022-12-13 17:01:18,Secret Sauce,Paul Brown
2022-12-13 17:05:00,Have Yourself A Merry Little Christmas,John Legend/Esperanza Spalding
2022-12-13 17:08:08,Maxine,Paul Hardcastle
2022-12-13 17:12:29,Cuban Heels,Acoustic Alchemy
2022-12-13 17:14:58,Joy Dance,Kim Waters
2022-12-13 17:19:56,Island Christmas,Michael Franks
2022-12-13 17:21:10, ,
2022-12-13 17:21:46,Island Christmas,Michael Franks
2022-12-13 17:24:54,Born to Be Bad,Joe Sample
2022-12-13 17:31:11,Workin' It Out,Jason Jackson
2022-12-13 17:34:49,Moonlight Dancing,Earl Klugh
2022-12-13 17:40:57,Drive,Cindy Bradley
2022-12-13 17:44:36,Makeda,Les Nubians
