time_stamp,song,artist
2022-12-13 08:27:42,After Party,David P Stevens
2022-12-13 08:31:12,Ride the D Train,Paul Hardcastle
2022-12-13 08:35:13,Eddie's Groove,Gerald Albright
2022-12-13 08:39:13,Dear Friend,Patrick Bradley
2022-12-13 08:45:14,She's in Love,Peter White/Christopher Cross
2022-12-13 08:48:15,What Child Is This,Jessy J
2022-12-13 08:52:15,Love Planet,Mark Etheredge
2022-12-13 08:56:46,Co-Motion,Lemek
2022-12-13 09:00:16,City Lights,Brian Culbertson
2022-12-13 09:06:17,Silver Bells,Maysa/Gerald Albright
2022-12-13 09:10:18,I'll Love You,Joe Sample
2022-12-13 09:16:18,I'll Make Love to You,Kirk Whalum
2022-12-13 09:20:19,Let's Get Down Tonight,Adam Hawley
2022-12-13 09:24:20,The Little Drummer Boy,Dave Koz
2022-12-13 09:28:20,Let It Shine,Tim Bowman
2022-12-13 09:31:21, ,
2022-12-13 09:32:21,Convergency,Candy Dulfer
2022-12-13 09:34:51,Spin Cycle,Drew Davidsen
2022-12-13 09:39:52,Play,Michael Lington
2022-12-13 09:42:22,I'm OK,Lindsey Webster
2022-12-13 09:47:53,Silent Night,Julian Vaughn
2022-12-13 09:52:24,NuJazzy,Bobby Lyle
2022-12-13 09:57:55,London Lowdown,Ronny Jordan
2022-12-13 10:03:25,City Lights,Mike Phillips
2022-12-13 10:07:26,I'll Be Home for Christmas,Dianne Reeves
2022-12-13 10:11:57,Metropolis,Boney James
2022-12-13 10:14:57,Marina's Dream,Joyce Cooling
2022-12-13 10:20:58,And Now This,Paul Taylor
2022-12-13 10:24:28,Winter Wonderland,Herb Alpert/Jeff Lorber
2022-12-13 10:27:29,Is There A Doctor In The House?,Chris Standring
2022-12-13 10:33:00,Stickwidit,Carl Cox
2022-12-13 10:35:30,Wes Who?,Count Basic
2022-12-13 10:40:31,Highway 10,Ryan La Valette
2022-12-13 10:44:32,Everything's Changing,Jo Harrop
2022-12-13 10:47:32,The Christmas Song,Daryl Beebe
2022-12-13 10:51:33,Stone Cold,Pamela Williams
2022-12-13 10:56:34,Wake Up,Jonathan Butler
2022-12-13 11:00:34,Georgy Porgy,Mo Louis
2022-12-13 11:05:35,What Christmas Means,Kem
2022-12-13 11:12:36,Brother Earl,Paul Brown/Marc Antoine
2022-12-13 11:15:07,Candlelight,Richard Elliot
2022-12-13 11:19:07,Let It Breathe,Michael Broening
2022-12-13 11:23:08,Carol of the Bells,Nancy Wilson/New York Voices
2022-12-13 11:30:09,The Closer I Get to You,Peter White
2022-12-13 11:35:10,Perfect Timing,Lisa Addeo
2022-12-13 11:38:10,Hidden Agenda,GREG ADAMS
2022-12-13 11:42:41,Hustle,Jazz Funk Soul
2022-12-13 11:46:41,Show Me,Rebecca Jade
2022-12-13 11:50:42,The Most Wonderful Time Of The Year,Brian Bromberg
2022-12-13 11:55:43,Missing You,Randal Clark
