time_stamp,song,artist
2022-12-14 14:55:08,Together Tonight,Brian Culbertson
2022-12-14 14:57:38,Good On You,Will Donato
2022-12-14 15:02:01,Sneakin' In The Front Door,Chris Standring
2022-12-14 15:06:23,I'll Be Home For Christmas,Kenny G
2022-12-14 15:09:32,Walking in Rhythm,Joe McBride
2022-12-14 15:14:33,Expression,Joyce Cooling
2022-12-14 15:18:24,Force,Judah Sealy
2022-12-14 15:22:49,Greensleeves,Bob James/Hilary James
2022-12-14 15:27:16,Aspen,Rippingtons
2022-12-14 15:32:17,NuJazzy,Bobby Lyle
2022-12-14 15:36:45,Chase the Dragon,Grant Geissman
2022-12-14 15:41:08,Bring It Back,Boney James
2022-12-14 15:44:15,Via Nueve,David Benoit/Russ Freeman
2022-12-14 15:49:17,Until You Come Back to Me,Hil St. Soul
2022-12-14 15:52:22,Silent Night,Ben Tankard/Donald Hayes
2022-12-14 15:55:29,Groove Assets,Richard Smith
2022-12-14 15:59:54,Allure,Paul Taylor
2022-12-14 16:05:28,Drive,Cindy Bradley
2022-12-14 16:08:37,God Rest Ye Merry Gentlemen,Ed Calle/Justo Almario
2022-12-14 16:14:16,Buy Me Love,Chance Howard/Candy Dulfer
2022-12-14 16:18:41,4AM,Nite Flyte
2022-12-14 16:23:03,Stickwidit,Carl Cox
2022-12-14 16:26:09, ,
2022-12-14 16:26:49,Hark! The Herald Angels Sing,Dave Koz/David Benoit
2022-12-14 16:30:39,Kickin' It Hard,Chieli Minucci
2022-12-14 16:33:47,Stone Cold,Pamela Williams
2022-12-14 16:35:01,Stone Cold,Pamela Williams
